timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150818_145654 50 1 1 10 100000 141246882 3905 10000 6095 0 3584 3905 9 10000 1 3584 0 3584 3584 100000 100 0 0 0 23.889 6.771 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed141246882.log 3274587 q3-extractinstructions.txt 20150818_145735 0.5 55cb98ba7768393e88fc7d95
20150818_145644 50 1 1 10 100000 919028296 10000 10000 0 6374 0 10000 9 10000 1 0 0 0 10000 100000 100 0 0 1 40.488 10.248 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed919028296.log 6721503 q3-extractinstructions.txt 20150818_145753 0.5 55cb98ba7768393e88fc7d93
20150818_145649 50 1 1 10 100000 103765041 10000 10000 0 7768 1813 10000 9 10000 1 1813 0 1813 10000 100000 100 0 0 1 46.954 10.874 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed103765041.log 6829619 q3-extractinstructions.txt 20150818_145804 0.5 55cb98ba7768393e88fc7d94
20150818_145659 50 1 1 10 100000 681028781 10000 10000 0 0 471 10000 9 10000 1 471 0 471 10000 100000 100 0 0 2 45.383 9.173 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed681028781.log 6343409 q3-extractinstructions.txt 20150818_145811 0.5 55cb98ba7768393e88fc7d96
20150818_150153 50 1 1 10 100000 117661523 3937 10000 6063 0 3608 3937 9 10000 1 3608 0 3608 3608 100000 100 0 0 0 22.804 8.113 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed117661523.log 3289810 q3-extractinstructions.txt 20150818_150236 0.5 55cb98ba7768393e88fc7d97
20150818_150159 50 1 1 10 100000 105731136 3907 10000 6093 0 3629 3907 9 10000 1 3629 0 3629 3629 100000 100 0 0 0 23.685 8.174 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed105731136.log 3297494 q3-extractinstructions.txt 20150818_150243 0.5 55cb98ba7768393e88fc7d98
20150818_150203 50 1 1 10 100000 967561224 3868 10000 6132 0 3603 3868 9 10000 1 3603 0 3603 3603 100000 100 0 0 0 25.233 8.736 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed967561224.log 3272178 q3-extractinstructions.txt 20150818_150249 0.5 55cb98ba7768393e88fc7d99
20150818_150209 50 1 1 10 100000 420477893 3984 10000 6016 0 3690 3984 9 10000 1 3690 0 3690 3690 100000 100 0 0 0 29.505 7.893 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed420477893.log 3352199 q3-extractinstructions.txt 20150818_150258 0.5 55cb98ba7768393e88fc7d9a
20150818_150214 50 1 1 10 100000 263688301 3906 10000 6094 0 3588 3906 9 10000 1 3588 0 3588 3588 100000 100 0 0 0 31.009 7.473 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed263688301.log 3278084 q3-extractinstructions.txt 20150818_150305 0.5 55cb98ba7768393e88fc7d9b
20150818_150219 50 1 1 10 100000 50746969 3945 10000 6055 0 3608 3945 9 10000 1 3608 0 3608 3608 100000 100 0 0 0 31.983 6.754 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf100000i100d0m0_seed50746969.log 3288285 q3-extractinstructions.txt 20150818_150311 0.5 55cb98ba7768393e88fc7d9c
