timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150724_175654 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 50000 100 100 100 2 34.342 9.437 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed919028296.log 5916753 q3-extractinstructions.txt 20150724_175757 0.5 55b2b0b07768392c6846a479
20150724_175659 50 1 1 10 100000 103765041 10000 10000 0 0 960 10000 9 10000 1 960 0 960 10000 50000 100 100 100 2 36.205 9.751 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed103765041.log 6153745 q3-extractinstructions.txt 20150724_175804 0.5 55b2b0b07768392c6846a47a
20150724_180607 50 1 1 10 100000 141246882 3905 10000 6095 0 3584 3905 9 10000 1 3584 0 3584 3584 50000 100 100 100 0 23.749 7.878 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed141246882.log 3272676 q3-extractinstructions.txt 20150724_180652 0.5 55b2b0b07768392c6846a47b
20150724_180618 50 1 1 10 100000 117661523 3937 10000 6063 0 3608 3937 9 10000 1 3608 0 3608 3608 50000 100 100 100 0 30.451 8.502 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed117661523.log 3287899 q3-extractinstructions.txt 20150724_180709 0.5 55b2b0b07768392c6846a47d
20150724_180623 50 1 1 10 100000 105731136 3907 10000 6093 0 3629 3907 9 10000 1 3629 0 3629 3629 50000 100 100 100 0 32.516 9.329 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed105731136.log 3295583 q3-extractinstructions.txt 20150724_180717 0.5 55b2b0b07768392c6846a47e
20150724_180628 50 1 1 10 100000 967561224 3868 10000 6132 0 3603 3868 9 10000 1 3603 0 3603 3603 50000 100 100 100 0 33.112 9.578 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed967561224.log 3270267 q3-extractinstructions.txt 20150724_180724 0.5 55b2b0b07768392c6846a47f
20150724_180633 50 1 1 10 100000 420477893 3984 10000 6016 0 3690 3984 9 10000 1 3690 0 3690 3690 50000 100 100 100 0 35.327 10.093 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed420477893.log 3350290 q3-extractinstructions.txt 20150724_180731 0.5 55b2b0b07768392c6846a480
20150724_180612 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 50000 100 100 100 2 49.540 11.996 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed681028781.log 6461418 q3-extractinstructions.txt 20150724_180741 0.5 55b2b0b07768392c6846a47c
20150724_180720 50 1 1 10 100000 597296547 3959 10000 6041 0 3617 3959 9 10000 1 3617 0 3617 3617 50000 100 100 100 0 36.852 9.704 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed597296547.log 3299068 q3-extractinstructions.txt 20150724_180817 0.5 55b2b0b07768392c6846a485
20150724_180639 50 1 1 10 100000 263688301 10000 10000 0 8196 2185 10000 9 10000 1 2185 0 2185 10000 50000 100 100 100 1 63.763 13.775 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed263688301.log 6838673 q3-extractinstructions.txt 20150724_180820 0.5 55b2b0b07768392c6846a481
20150724_180644 50 1 1 10 100000 50746969 10000 10000 0 8162 2186 10000 9 10000 1 2186 0 2186 10000 50000 100 100 100 1 63.685 14.212 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed50746969.log 6881659 q3-extractinstructions.txt 20150724_180824 0.5 55b2b0b07768392c6846a482
20150724_180659 50 1 1 10 100000 533657980 10000 10000 0 0 2317 10000 9 10000 1 2317 0 2317 10000 50000 100 100 100 2 75.852 14.118 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed533657980.log 6742196 q3-extractinstructions.txt 20150724_180852 0.5 55b2b0b07768392c6846a483
20150724_180740 50 1 1 10 100000 258760793 4030 10000 5970 0 3698 4030 9 10000 1 3698 0 3698 3698 50000 100 100 100 0 54.466 7.098 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed258760793.log 3365114 q3-extractinstructions.txt 20150724_180857 0.5 55b2b0b07768392c6846a487
20150724_180704 50 1 1 10 100000 711283608 10000 10000 0 10000 3647 10000 9 10000 1 3647 0 3647 10000 50000 100 100 100 1 87.836 14.789 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed711283608.log 6923385 q3-extractinstructions.txt 20150724_180913 0.5 55b2b0b07768392c6846a484
20150724_180734 50 1 1 10 100000 664375964 10000 10000 0 6717 491 10000 9 10000 1 491 0 491 10000 50000 100 100 100 1 90.553 9.532 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed664375964.log 6762856 q3-extractinstructions.txt 20150724_180946 0.5 55b2b0b07768392c6846a486
20150724_180745 50 1 1 10 100000 666549275 10000 10000 0 0 2676 10000 9 10000 1 2676 0 2676 10000 50000 100 100 100 2 93.827 10.155 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed666549275.log 6859161 q3-extractinstructions.txt 20150724_181000 0.5 55b2b0b07768392c6846a488
20150724_180750 50 1 1 10 100000 376517787 10000 10000 0 7122 937 10000 9 10000 1 937 0 937 10000 50000 100 100 100 1 92.167 9.048 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed376517787.log 6792795 q3-extractinstructions.txt 20150724_181004 0.5 55b2b0b07768392c6846a489
20150724_180911 50 1 1 10 100000 792850679 3996 10000 6004 0 3697 3996 9 10000 1 3697 0 3697 3697 50000 100 100 100 0 39.678 10.577 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed792850679.log 3350051 q3-extractinstructions.txt 20150724_181014 0.5 55b2b0b07768392c6846a48d
20150724_180836 50 1 1 10 100000 817713633 10000 10000 0 0 921 10000 9 10000 1 921 0 921 10000 50000 100 100 100 2 75.205 12.683 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed817713633.log 6652254 q3-extractinstructions.txt 20150724_181032 0.5 55b2b0b07768392c6846a48a
20150724_180856 50 1 1 10 100000 715258232 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 50000 100 100 100 2 60.144 11.824 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed715258232.log 5948607 q3-extractinstructions.txt 20150724_181033 0.5 55b2b0b07768392c6846a48c
20150724_180842 50 1 1 10 100000 519606501 10000 10000 0 0 483 10000 9 10000 1 483 0 483 10000 50000 100 100 100 2 72.876 12.964 ../Q3/./log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed519606501.log 6771432 q3-extractinstructions.txt 20150724_181035 0.5 55b2b0b07768392c6846a48b
20150724_180921 50 1 2 10 100000 103765041 10000 10000 0 5903 4164 10000 9 10000 1 1953 1863 90 10000 50000 100 100 100 2 117.051 20.281 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed103765041.log 10288195 q3-extractinstructions.txt 20150724_181210 0.5 55b2b0b07768392c6846a48f
20150724_180957 50 1 2 10 100000 141246882 688 10000 0 9419 1502 688 9 10000 1 7906 7060 846 670 50000 100 100 100 1 98.264 18.345 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed141246882.log 8889362 q3-extractinstructions.txt 20150724_181220 0.5 55b2b0b07768392c6846a490
20150724_181042 50 1 2 10 100000 105731136 679 10000 0 9265 1511 679 9 10000 1 7816 6987 829 651 50000 100 100 100 1 88.022 21.496 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed105731136.log 8868967 q3-extractinstructions.txt 20150724_181257 0.5 55b2b0b07768392c6846a493
20150724_181053 50 1 2 10 100000 420477893 1185 10000 0 5229 9550 1185 9 10000 1 8085 7169 916 735 50000 100 100 100 2 91.094 22.277 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed420477893.log 8926248 q3-extractinstructions.txt 20150724_181312 0.5 55b2b0b07768392c6846a495
20150724_181028 50 1 2 10 100000 117661523 1158 10000 0 9283 1965 1158 9 10000 1 7340 6058 1282 1130 50000 100 100 100 2 115.158 25.428 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed117661523.log 11523666 q3-extractinstructions.txt 20150724_181326 0.5 55b2b0b07768392c6846a492
20150724_180916 50 1 2 10 100000 919028296 1924 10000 0 3445 9973 1924 9 10000 1 6141 4133 2008 1897 50000 100 100 100 4 171.579 30.779 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed919028296.log 16330063 q3-extractinstructions.txt 20150724_181335 0.5 55b2b0b07768392c6846a48e
20150724_181048 50 1 2 10 100000 967561224 1103 10000 0 9181 1912 1103 9 10000 1 7200 5947 1253 1089 50000 100 100 100 2 127.355 26.207 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed967561224.log 11533127 q3-extractinstructions.txt 20150724_181359 0.5 55b2b0b07768392c6846a494
20150724_181023 50 1 2 10 100000 681028781 1920 10000 0 4054 9597 1920 9 10000 1 6673 5042 1631 1517 50000 100 100 100 4 167.109 29.593 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed681028781.log 14919843 q3-extractinstructions.txt 20150724_181432 0.5 55b2b0b07768392c6846a491
20150724_181315 50 1 2 10 100000 711283608 674 10000 0 9783 212 674 9 10000 1 8701 8277 424 212 50000 100 100 100 1 69.994 21.886 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed711283608.log 7144336 q3-extractinstructions.txt 20150724_181507 0.5 55b2b0b07768392c6846a499
20150724_181214 50 1 2 10 100000 50746969 1117 10000 0 9306 1904 1117 9 10000 1 7395 6160 1235 1095 50000 100 100 100 2 128.264 25.35 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed50746969.log 11507813 q3-extractinstructions.txt 20150724_181528 0.5 55b2b0b07768392c6846a497
20150724_181138 50 1 2 10 100000 263688301 10000 10000 0 3082 8353 10000 9 10000 1 4184 3527 657 10000 50000 100 100 100 4 151.978 27.923 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed263688301.log 13361818 q3-extractinstructions.txt 20150724_181528 0.5 55b2b0b07768392c6846a496
20150724_181410 50 1 2 10 100000 258760793 253 10000 3590 6306 231 253 9 10000 1 8781 8319 462 231 50000 100 100 100 0 66.098 20.389 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed258760793.log 5749277 q3-extractinstructions.txt 20150724_181549 0.5 55b2b0b07768392c6846a49c
20150724_181300 50 1 2 10 100000 533657980 10000 10000 0 3865 117 10000 9 10000 1 4873 4639 234 10000 50000 100 100 100 4 108.709 28.875 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed533657980.log 10979373 q3-extractinstructions.txt 20150724_181551 0.5 55b2b0b07768392c6846a498
20150724_181330 50 1 2 10 100000 597296547 1570 10000 0 4044 9976 1570 9 10000 1 6744 5073 1671 1546 50000 100 100 100 3 131.756 32.589 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed597296547.log 14069160 q3-extractinstructions.txt 20150724_181655 0.5 55b2b0b07768392c6846a49a
20150724_181602 50 1 2 10 100000 792850679 250 10000 3698 6209 223 250 9 10000 1 8735 8289 446 223 50000 100 100 100 0 67.739 16.271 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed792850679.log 5711061 q3-extractinstructions.txt 20150724_181741 0.5 55b2b0b07768392c6846a4a2
20150724_181344 50 1 2 10 100000 664375964 2015 10000 0 3539 9969 2015 9 10000 1 6336 4226 2110 1984 50000 100 100 100 4 159.044 35.178 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed664375964.log 16472730 q3-extractinstructions.txt 20150724_181749 0.5 55b2b0b07768392c6846a49b
20150724_181547 50 1 2 10 100000 817713633 10000 10000 0 1804 45 10000 9 10000 1 1971 1881 90 10000 50000 100 100 100 4 114.196 19.281 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed817713633.log 9317758 q3-extractinstructions.txt 20150724_181838 0.5 55b2b0b07768392c6846a49f
20150724_181415 50 1 2 10 100000 666549275 10000 10000 0 3822 9920 10000 9 10000 1 5643 4567 1076 10000 50000 100 100 100 4 174.970 33.602 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed666549275.log 16921389 q3-extractinstructions.txt 20150724_181848 0.5 55b2b0b07768392c6846a49d
20150724_181451 50 1 2 10 100000 376517787 1560 10000 0 4125 9985 1560 9 10000 1 6796 5123 1673 1545 50000 100 100 100 3 158.837 29.266 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed376517787.log 14145146 q3-extractinstructions.txt 20150724_181852 0.5 55b2b0b07768392c6846a49e
20150724_181557 50 1 2 10 100000 715258232 1130 10000 0 9257 1957 1130 9 10000 1 7389 6119 1270 1116 50000 100 100 100 2 145.815 22.448 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed715258232.log 11591716 q3-extractinstructions.txt 20150724_181930 0.5 55b2b0b07768392c6846a4a1
20150724_181552 50 1 2 10 100000 519606501 10000 10000 0 942 7203 10000 9 10000 1 1481 942 539 10000 50000 100 100 100 4 160.230 24.727 ../Q3/./log/doc50cop2shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed519606501.log 12526481 q3-extractinstructions.txt 20150724_181944 0.5 55b2b0b07768392c6846a4a0
20150724_181713 50 1 3 10 100000 103765041 492 10000 0 9374 2222 492 9 10000 1 11719 10203 1516 492 50000 100 100 100 2 175.903 30.249 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed103765041.log 13013829 q3-extractinstructions.txt 20150724_182119 0.5 55b2b0b07768392c6846a4a4
20150724_181627 50 1 3 10 100000 919028296 96 10000 0 4980 10000 96 9 10000 1 11130 6508 4622 96 50000 100 100 100 4 240.489 42.276 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed919028296.log 19432593 q3-extractinstructions.txt 20150724_182221 0.5 55b2b0b07768392c6846a4a3
20150724_181900 50 1 3 10 100000 117661523 18 10000 0 9969 1531 18 9 10000 1 12735 10632 2103 18 50000 100 100 100 1 136.544 31.824 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed117661523.log 11269026 q3-extractinstructions.txt 20150724_182224 0.5 55b2b0b07768392c6846a4a7
20150724_181810 50 1 3 10 100000 141246882 85 10000 0 6251 9985 85 9 10000 1 12077 9177 2900 63 50000 100 100 100 3 178.046 35.427 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed141246882.log 13914644 q3-extractinstructions.txt 20150724_182231 0.5 55b2b0b07768392c6846a4a5
20150724_181905 50 1 3 10 100000 105731136 51 10000 0 9485 3265 51 9 10000 1 12189 9359 2830 51 50000 100 100 100 2 178.179 35.755 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed105731136.log 14114324 q3-extractinstructions.txt 20150724_182328 0.5 55b2b0b07768392c6846a4a8
20150724_181949 50 1 3 10 100000 967561224 44 10000 0 9975 1514 44 9 10000 1 12532 10399 2133 43 50000 100 100 100 1 160.370 30.638 ../Q3/./log/doc50cop3shlf1lif10_af10000s1tTOTAL_gf50000i100d100m100_seed967561224.log 11285996 q3-extractinstructions.txt 20150724_182338 0.5 55b2b0b07768392c6846a4a9
