timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150729_204353 50 1 1 10 100000 141246882 3907 10000 6093 0 3820 3907 39 2500 1 3820 0 3820 3820 30000 100 0 0 0 54.054 21.248 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 3417397 q3-extractinstructions.txt 20150729_204512 0.5 55b2afeb7768392c683f04f5
20150729_204403 50 1 1 10 100000 117661523 3933 10000 6067 0 3848 3933 39 2500 1 3848 0 3848 3848 30000 100 0 0 0 64.105 21.091 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 3431146 q3-extractinstructions.txt 20150729_204532 0.5 55b2afeb7768392c683f04f7
20150729_204414 50 1 1 10 100000 967561224 3865 10000 6135 0 3798 3865 39 2500 1 3798 0 3798 3798 30000 100 0 0 0 68.400 21.84 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 3394023 q3-extractinstructions.txt 20150729_204551 0.5 55b2afeb7768392c683f04f9
20150729_204342 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 39 2500 1 0 0 0 10000 30000 100 0 0 2 86.780 23.744 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 6409111 q3-extractinstructions.txt 20150729_204554 0.5 55b2afeb7768392c683f04f3
20150729_204420 50 1 1 10 100000 420477893 3992 10000 6008 0 3927 3992 39 2500 1 3927 0 3927 3927 30000 100 0 0 0 68.050 19.999 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 3497004 q3-extractinstructions.txt 20150729_204557 0.5 55b2afeb7768392c683f04fa
20150729_204348 50 1 1 10 100000 103765041 10000 10000 0 0 508 10000 39 2500 1 508 0 508 10000 30000 100 0 0 2 90.536 24.243 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 6385598 q3-extractinstructions.txt 20150729_204604 0.5 55b2afeb7768392c683f04f4
20150729_204358 50 1 1 10 100000 681028781 10000 10000 0 0 129 10000 39 2500 1 129 0 129 10000 30000 100 0 0 2 88.676 23.353 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 6044970 q3-extractinstructions.txt 20150729_204611 0.5 55b2afeb7768392c683f04f6
20150729_204408 50 1 1 10 100000 105731136 10000 10000 0 9769 3694 10000 39 2500 1 3694 0 3694 10000 30000 100 0 0 1 122.923 24.335 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 7022018 q3-extractinstructions.txt 20150729_204654 0.5 55b2afeb7768392c683f04f8
20150729_204456 50 1 1 10 100000 263688301 10000 10000 0 0 1360 10000 39 2500 1 1360 0 1360 10000 30000 100 0 0 2 112.389 21.449 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 6418775 q3-extractinstructions.txt 20150729_204732 0.5 55b2afeb7768392c683f04fb
20150729_204616 50 1 1 10 100000 597296547 3959 10000 6041 0 3888 3959 39 2500 1 3888 0 3888 3888 30000 100 0 0 0 62.245 20.951 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 3457075 q3-extractinstructions.txt 20150729_204745 0.5 55b2afeb7768392c683f04ff
