timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20161005_185721 50 1 1 1000 100000 919028296 42 10000 9958 0 0 42 0 0 0 0 0 0 0 0 100 0 0 1 0 1.570 0.047 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 26527 hl-extractinstructions.txt 20161005_185730 0.5 57f4466f7768391e5c34bca3
20161005_185725 50 1 1 1000 100000 103765041 41 10000 9959 0 0 41 0 0 0 0 0 0 0 0 100 0 0 1 0 1.733 0.016 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 27868 hl-extractinstructions.txt 20161005_185735 0.5 57f4466f7768391e5c34bca4
20161005_185730 50 1 1 1000 100000 141246882 27 10000 9973 0 0 27 0 0 0 0 0 0 0 0 100 0 0 1 0 1.590 0.015 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 21713 hl-extractinstructions.txt 20161005_185740 0.5 57f4466f7768391e5c34bca5
20161005_185736 50 1 1 1000 100000 681028781 33 10000 9967 0 0 33 0 0 0 0 0 0 0 0 100 0 0 1 0 1.702 0.016 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 24543 hl-extractinstructions.txt 20161005_185745 0.5 57f4466f7768391e5c34bca6
20161005_185741 50 1 1 1000 100000 117661523 43 10000 9957 0 0 43 0 0 0 0 0 0 0 0 100 0 0 1 0 1.715 0.031 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 27877 hl-extractinstructions.txt 20161005_185750 0.5 57f4466f7768391e5c34bca7
20161005_185746 50 1 1 1000 100000 105731136 43 10000 9957 0 0 43 0 0 0 0 0 0 0 0 100 0 0 1 0 1.743 0.015 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 28661 hl-extractinstructions.txt 20161005_185756 0.5 57f4466f7768391e5c34bca8
20161005_185751 50 1 1 1000 100000 967561224 30 10000 9970 0 0 30 0 0 0 0 0 0 0 0 100 0 0 1 0 1.764 0.015 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 22798 hl-extractinstructions.txt 20161005_185801 0.5 57f4466f7768391e5c34bca9
20161005_185756 50 1 1 1000 100000 420477893 43 10000 9957 0 0 43 0 0 0 0 0 0 0 0 100 0 0 1 0 1.556 0.031 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 28271 hl-extractinstructions.txt 20161005_185806 0.5 57f4466f7768391e5c34bcaa
20161005_185802 50 1 1 1000 100000 263688301 41 10000 9959 0 0 41 0 0 0 0 0 0 0 0 100 0 0 1 0 1.771 0.047 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 27992 hl-extractinstructions.txt 20161005_185811 0.5 57f4466f7768391e5c34bcab
20161005_185807 50 1 1 1000 100000 50746969 34 10000 9966 0 0 34 0 0 0 0 0 0 0 0 100 0 0 1 0 1.512 0.0 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed50746969.log 25030 hl-extractinstructions.txt 20161005_185816 0.5 57f4466f7768391e5c34bcac
20161005_185812 50 1 1 1000 100000 533657980 39 10000 9961 0 0 39 0 0 0 0 0 0 0 0 100 0 0 1 0 1.521 0.016 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed533657980.log 26982 hl-extractinstructions.txt 20161005_185821 0.5 57f4466f7768391e5c34bcad
20161005_185817 50 1 1 1000 100000 711283608 31 10000 9969 0 0 31 0 0 0 0 0 0 0 0 100 0 0 1 0 1.557 0.016 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed711283608.log 23573 hl-extractinstructions.txt 20161005_185826 0.5 57f4466f7768391e5c34bcae
20161005_185822 50 1 1 1000 100000 597296547 40 10000 9960 0 0 40 0 0 0 0 0 0 0 0 100 0 0 1 0 1.879 0.031 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed597296547.log 26140 hl-extractinstructions.txt 20161005_185832 0.5 57f4466f7768391e5c34bcaf
