timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20151202_182916 50 1 1 3 100000 919028296 6852 10000 3148 0 0 6852 0 0 0 0 0 0 0 0 100 0 0 0 21.529 4.992 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 2932869 q3-extractinstructions.txt 20151202_182957 0.5 5624401f7768393470af424b
20151202_182918 50 1 1 3 100000 103765041 6889 10000 3111 0 0 6889 0 0 0 0 0 0 0 0 100 0 0 0 21.992 5.008 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 2936053 q3-extractinstructions.txt 20151202_183000 0.5 5624401f7768393470af424c
20151202_182920 50 1 1 3 100000 141246882 6772 10000 3228 0 0 6772 0 0 0 0 0 0 0 0 100 0 0 0 22.559 5.662 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 2894392 q3-extractinstructions.txt 20151202_183003 0.5 5624401f7768393470af424d
20151202_182922 50 1 1 3 100000 681028781 6909 10000 3091 0 0 6909 0 0 0 0 0 0 0 0 100 0 0 0 23.053 5.319 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 2946177 q3-extractinstructions.txt 20151202_183006 0.5 5624401f7768393470af424e
20151202_182924 50 1 1 3 100000 117661523 6826 10000 3174 0 0 6826 0 0 0 0 0 0 0 0 100 0 0 0 23.498 5.928 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 2920089 q3-extractinstructions.txt 20151202_183008 0.5 5624401f7768393470af424f
20151202_182927 50 1 1 3 100000 105731136 6903 10000 3097 0 0 6903 0 0 0 0 0 0 0 0 100 0 0 0 24.212 5.85 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 2951632 q3-extractinstructions.txt 20151202_183011 0.5 5624401f7768393470af4250
20151202_182929 50 1 1 3 100000 967561224 6794 10000 3206 0 0 6794 0 0 0 0 0 0 0 0 100 0 0 0 24.430 5.132 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 2908246 q3-extractinstructions.txt 20151202_183013 0.5 5624401f7768393470af4251
20151202_182931 50 1 1 3 100000 420477893 6896 10000 3104 0 0 6896 0 0 0 0 0 0 0 0 100 0 0 0 25.692 5.601 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 2944214 q3-extractinstructions.txt 20151202_183016 0.5 5624401f7768393470af4252
20151202_182944 50 1 1 3 100000 263688301 6763 10000 3237 0 0 6763 0 0 0 0 0 0 0 0 100 0 0 0 29.368 3.541 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 2895157 q3-extractinstructions.txt 20151202_183033 0.5 5624401f7768393470af4253
20151202_182946 50 1 1 3 100000 50746969 6889 10000 3111 0 0 6889 0 0 0 0 0 0 0 0 100 0 0 0 28.854 3.198 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 2928370 q3-extractinstructions.txt 20151202_183034 0.5 5624401f7768393470af4254
20151202_183018 50 1 1 3 100000 533657980 6851 10000 3149 0 0 6851 0 0 0 0 0 0 0 0 100 0 0 0 22.916 3.885 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 2933914 q3-extractinstructions.txt 20151202_183100 0.5 5624401f7768393470af4255
20151202_183020 50 1 1 3 100000 711283608 6888 10000 3112 0 0 6888 0 0 0 0 0 0 0 0 100 0 0 0 23.585 3.792 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed711283608.log 2951941 q3-extractinstructions.txt 20151202_183104 0.5 5624401f7768393470af4256
20151202_183023 50 1 1 3 100000 597296547 6819 10000 3181 0 0 6819 0 0 0 0 0 0 0 0 100 0 0 0 22.933 3.854 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed597296547.log 2902682 q3-extractinstructions.txt 20151202_183105 0.5 5624401f7768393470af4257
20151202_183025 50 1 1 3 100000 664375964 6877 10000 3123 0 0 6877 0 0 0 0 0 0 0 0 100 0 0 0 22.894 4.712 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed664375964.log 2935601 q3-extractinstructions.txt 20151202_183108 0.5 5624401f7768393470af4258
20151202_183037 50 1 1 3 100000 258760793 6878 10000 3122 0 0 6878 0 0 0 0 0 0 0 0 100 0 0 0 28.094 4.914 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed258760793.log 2934700 q3-extractinstructions.txt 20151202_183126 0.5 5624401f7768393470af4259
20151202_183039 50 1 1 3 100000 666549275 6873 10000 3127 0 0 6873 0 0 0 0 0 0 0 0 100 0 0 0 28.324 4.322 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed666549275.log 2928209 q3-extractinstructions.txt 20151202_183128 0.5 5624401f7768393470af425a
20151202_183041 50 1 1 3 100000 376517787 6814 10000 3186 0 0 6814 0 0 0 0 0 0 0 0 100 0 0 0 27.833 4.338 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed376517787.log 2910406 q3-extractinstructions.txt 20151202_183129 0.5 5624401f7768393470af425b
20151202_183044 50 1 1 3 100000 817713633 6827 10000 3173 0 0 6827 0 0 0 0 0 0 0 0 100 0 0 0 27.893 3.354 ../hl/a0/log/doc50cop1shlf1lif3_af0s1tTOTAL_gf0i100d0m0_seed817713633.log 2915889 q3-extractinstructions.txt 20151202_183131 0.5 5624401f7768393470af425c
