timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20160226_165746 50 1 1 2 100000 919028296 8194 10000 1806 0 0 8194 0 0 0 0 0 0 0 0 100 0 0 1 0 26.005 7.626 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 3557351 hl-extractinstructions.txt 20160226_165837 0.5 56d0c7337768393b20adb0f0
20160226_165747 50 1 1 2 100000 103765041 8219 10000 1781 0 0 8219 0 0 0 0 0 0 0 0 100 0 0 1 0 26.114 7.641 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 3552339 hl-extractinstructions.txt 20160226_165839 0.5 56d0c7337768393b20adb0f1
20160226_165749 50 1 1 2 100000 141246882 8202 10000 1798 0 0 8202 0 0 0 0 0 0 0 0 100 0 0 1 0 26.371 8.25 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 3562505 hl-extractinstructions.txt 20160226_165842 0.5 56d0c7337768393b20adb0f2
20160226_165751 50 1 1 2 100000 681028781 8265 10000 1735 0 0 8265 0 0 0 0 0 0 0 0 100 0 0 1 0 26.770 7.751 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 3580864 hl-extractinstructions.txt 20160226_165845 0.5 56d0c7337768393b20adb0f3
20160226_165753 50 1 1 2 100000 117661523 8217 10000 1783 0 0 8217 0 0 0 0 0 0 0 0 100 0 0 1 0 27.188 7.843 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 3567957 hl-extractinstructions.txt 20160226_165847 0.5 56d0c7337768393b20adb0f4
20160226_165756 50 1 1 2 100000 105731136 8256 10000 1744 0 0 8256 0 0 0 0 0 0 0 0 100 0 0 1 0 26.633 8.14 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 3582025 hl-extractinstructions.txt 20160226_165849 0.5 56d0c7337768393b20adb0f5
20160226_165758 50 1 1 2 100000 967561224 8203 10000 1797 0 0 8203 0 0 0 0 0 0 0 0 100 0 0 1 0 26.264 8.047 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 3564651 hl-extractinstructions.txt 20160226_165851 0.5 56d0c7337768393b20adb0f6
20160226_165800 50 1 1 2 100000 420477893 8299 10000 1701 0 0 8299 0 0 0 0 0 0 0 0 100 0 0 1 0 25.631 7.313 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 3597023 hl-extractinstructions.txt 20160226_165852 0.5 56d0c7337768393b20adb0f7
20160226_165823 50 1 1 2 100000 263688301 8174 10000 1826 0 0 8174 0 0 0 0 0 0 0 0 100 0 0 1 0 30.599 9.202 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 3554377 hl-extractinstructions.txt 20160226_165918 0.5 56d0c7337768393b20adb0f8
20160226_165825 50 1 1 2 100000 50746969 8237 10000 1763 0 0 8237 0 0 0 0 0 0 0 0 100 0 0 1 0 30.565 9.202 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed50746969.log 3555364 hl-extractinstructions.txt 20160226_165920 0.5 56d0c7337768393b20adb0f9
20160226_165858 50 1 1 2 100000 533657980 8240 10000 1760 0 0 8240 0 0 0 0 0 0 0 0 100 0 0 1 0 26.655 8.593 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed533657980.log 3580173 hl-extractinstructions.txt 20160226_165950 0.5 56d0c7337768393b20adb0fa
20160226_165900 50 1 1 2 100000 711283608 8230 10000 1770 0 0 8230 0 0 0 0 0 0 0 0 100 0 0 1 0 27.342 8.985 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed711283608.log 3574395 hl-extractinstructions.txt 20160226_165954 0.5 56d0c7337768393b20adb0fb
20160226_165903 50 1 1 2 100000 597296547 8210 10000 1790 0 0 8210 0 0 0 0 0 0 0 0 100 0 0 1 0 27.760 9.406 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed597296547.log 3547285 hl-extractinstructions.txt 20160226_165957 0.5 56d0c7337768393b20adb0fc
20160226_165905 50 1 1 2 100000 664375964 8258 10000 1742 0 0 8258 0 0 0 0 0 0 0 0 100 0 0 1 0 28.328 8.484 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed664375964.log 3578031 hl-extractinstructions.txt 20160226_170000 0.5 56d0c7337768393b20adb0fd
20160226_165907 50 1 1 2 100000 258760793 8224 10000 1776 0 0 8224 0 0 0 0 0 0 0 0 100 0 0 1 0 27.879 8.345 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed258760793.log 3563118 hl-extractinstructions.txt 20160226_170001 0.5 56d0c7337768393b20adb0fe
20160226_165909 50 1 1 2 100000 666549275 8217 10000 1783 0 0 8217 0 0 0 0 0 0 0 0 100 0 0 1 0 27.190 7.75 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed666549275.log 3553697 hl-extractinstructions.txt 20160226_170002 0.5 56d0c7337768393b20adb0ff
20160226_165922 50 1 1 2 100000 376517787 8174 10000 1826 0 0 8174 0 0 0 0 0 0 0 0 100 0 0 1 0 27.479 7.219 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed376517787.log 3539595 hl-extractinstructions.txt 20160226_170010 0.5 56d0c7337768393b20adb100
20160226_165934 50 1 1 2 100000 817713633 8223 10000 1777 0 0 8223 0 0 0 0 0 0 0 0 100 0 0 1 0 27.729 9.608 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed817713633.log 3566120 hl-extractinstructions.txt 20160226_170027 0.5 56d0c7337768393b20adb101
20160226_165936 50 1 1 2 100000 519606501 8216 10000 1784 0 0 8216 0 0 0 0 0 0 0 0 100 0 0 1 0 27.722 9.203 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed519606501.log 3554367 hl-extractinstructions.txt 20160226_170029 0.5 56d0c7337768393b20adb102
20160226_165938 50 1 1 2 100000 715258232 8238 10000 1762 0 0 8238 0 0 0 0 0 0 0 0 100 0 0 1 0 27.546 9.406 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed715258232.log 3573044 hl-extractinstructions.txt 20160226_170031 0.5 56d0c7337768393b20adb103
20160226_170011 50 1 1 2 100000 792850679 8251 10000 1749 0 0 8251 0 0 0 0 0 0 0 0 100 0 0 1 0 26.674 8.656 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed792850679.log 3565597 hl-extractinstructions.txt 20160226_170101 0.5 56d0c7337768393b20adb104
20160226_170013 50 1 2 2 100000 919028296 6778 10000 324 2898 0 6778 0 0 0 0 0 0 0 0 100 0 0 1 0 44.792 17.657 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 5697230 hl-extractinstructions.txt 20160226_170134 0.5 56d0c7337768393b20adb105
20160226_170016 50 1 2 2 100000 103765041 6729 10000 327 2944 0 6729 0 0 0 0 0 0 0 0 100 0 0 1 0 44.625 16.64 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 5678321 hl-extractinstructions.txt 20160226_170136 0.5 56d0c7337768393b20adb106
20160226_170018 50 1 2 2 100000 141246882 6706 10000 329 2965 0 6706 0 0 0 0 0 0 0 0 100 0 0 1 0 45.240 17.016 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 5680862 hl-extractinstructions.txt 20160226_170140 0.5 56d0c7337768393b20adb107
20160226_170020 50 1 2 2 100000 681028781 6807 10000 295 2898 0 6807 0 0 0 0 0 0 0 0 100 0 0 1 0 44.322 17.125 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 5701276 hl-extractinstructions.txt 20160226_170141 0.5 56d0c7337768393b20adb108
20160226_170033 50 1 2 2 100000 117661523 6808 10000 309 2883 0 6808 0 0 0 0 0 0 0 0 100 0 0 1 0 42.501 15.718 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 5703314 hl-extractinstructions.txt 20160226_170150 0.5 56d0c7337768393b20adb109
20160226_170035 50 1 2 2 100000 105731136 6778 10000 304 2918 0 6778 0 0 0 0 0 0 0 0 100 0 0 1 0 42.913 16.374 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 5723202 hl-extractinstructions.txt 20160226_170152 0.5 56d0c7337768393b20adb10a
20160226_170047 50 1 2 2 100000 967561224 6843 10000 320 2837 0 6843 0 0 0 0 0 0 0 0 100 0 0 1 0 44.127 16.187 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 5746453 hl-extractinstructions.txt 20160226_170202 0.5 56d0c7337768393b20adb10b
20160226_170110 50 1 2 2 100000 420477893 6752 10000 303 2945 0 6752 0 0 0 0 0 0 0 0 100 0 0 1 0 43.545 18.468 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 5690444 hl-extractinstructions.txt 20160226_170227 0.5 56d0c7337768393b20adb10c
20160226_170112 50 1 2 2 100000 263688301 6731 10000 309 2960 0 6731 0 0 0 0 0 0 0 0 100 0 0 1 0 43.577 17.984 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 5692930 hl-extractinstructions.txt 20160226_170229 0.5 56d0c7337768393b20adb10d
