timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20151203_090720 50 1 1 3 100000 919028296 6838 10000 3162 0 6448 6838 9 10000 1 6448 0 6448 6448 0 100 0 0 0 46.988 16.161 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed919028296.log 6198106 q3-extractinstructions.txt 20151203_090844 0.5 562440217768393470af56f7
20151203_090722 50 1 1 3 100000 103765041 6807 10000 3193 0 6447 6807 9 10000 1 6447 0 6447 6447 0 100 0 0 0 47.588 16.521 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed103765041.log 6198740 q3-extractinstructions.txt 20151203_090847 0.5 562440217768393470af56f8
20151203_090725 50 1 1 3 100000 141246882 6824 10000 3176 0 6416 6824 9 10000 1 6416 0 6416 6416 0 100 0 0 0 48.284 17.409 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed141246882.log 6183219 q3-extractinstructions.txt 20151203_090852 0.5 562440217768393470af56f9
20151203_090727 50 1 1 3 100000 681028781 6815 10000 3185 0 6429 6815 9 10000 1 6429 0 6429 6429 0 100 0 0 0 48.923 17.331 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed681028781.log 6180678 q3-extractinstructions.txt 20151203_090854 0.5 562440217768393470af56fa
20151203_090729 50 1 1 3 100000 117661523 6898 10000 3102 0 6494 6898 9 10000 1 6494 0 6494 6494 0 100 0 0 0 49.189 16.615 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed117661523.log 6229904 q3-extractinstructions.txt 20151203_090857 0.5 562440217768393470af56fb
20151203_090732 50 1 1 3 100000 105731136 6816 10000 3184 0 6427 6816 9 10000 1 6427 0 6427 6427 0 100 0 0 0 49.001 17.254 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed105731136.log 6196343 q3-extractinstructions.txt 20151203_090859 0.5 562440217768393470af56fc
20151203_090734 50 1 1 3 100000 967561224 6821 10000 3179 0 6445 6821 9 10000 1 6445 0 6445 6445 0 100 0 0 0 48.509 16.52 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed967561224.log 6185857 q3-extractinstructions.txt 20151203_090900 0.5 562440217768393470af56fd
20151203_090736 50 1 1 3 100000 420477893 6920 10000 3080 0 6528 6920 9 10000 1 6528 0 6528 6528 0 100 0 0 0 48.857 16.738 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed420477893.log 6258736 q3-extractinstructions.txt 20151203_090902 0.5 562440217768393470af56fe
20151203_090819 50 1 1 3 100000 263688301 6896 10000 3104 0 6496 6896 9 10000 1 6496 0 6496 6496 0 100 0 0 0 67.982 14.914 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed263688301.log 6237072 q3-extractinstructions.txt 20151203_091000 0.5 562440217768393470af56ff
20151203_090821 50 1 1 3 100000 50746969 6866 10000 3134 0 6455 6866 9 10000 1 6455 0 6455 6455 0 100 0 0 0 66.442 13.727 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed50746969.log 6221962 q3-extractinstructions.txt 20151203_091000 0.5 562440217768393470af5700
20151203_090905 50 1 1 3 100000 533657980 6910 10000 3090 0 6499 6910 9 10000 1 6499 0 6499 6499 0 100 0 0 0 55.529 13.884 ../hl/a10000/log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf0i100d0m0_seed533657980.log 6262618 q3-extractinstructions.txt 20151203_091033 0.5 562440217768393470af5701
