timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150625_171354 50 1 1 3 100000 919028296 8284 10000 1716 0 0 8284 9 10000 1 0 0 0 8284 10000 70 0 1000 3 42.467 13.214 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed919028296.log 5523061 q3-extractinstructions.txt 20150625_171507 0.5 558b322a77683911c4084aa2
20150625_171359 50 1 1 3 100000 103765041 8549 10000 1451 0 0 8549 9 10000 1 0 0 0 8549 10000 70 0 1000 7 46.616 15.038 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed103765041.log 5700926 q3-extractinstructions.txt 20150625_171518 0.5 558b322a77683911c4084aa3
20150625_171404 50 1 1 3 100000 141246882 8139 10000 1861 0 0 8139 9 10000 1 0 0 0 8139 10000 70 0 1000 1 47.043 15.429 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed141246882.log 5426739 q3-extractinstructions.txt 20150625_171523 0.5 558b322a77683911c4084aa4
20150625_171409 50 1 1 3 100000 681028781 8571 10000 1429 0 0 8571 9 10000 1 0 0 0 8571 10000 70 0 1000 8 54.707 16.567 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed681028781.log 5717735 q3-extractinstructions.txt 20150625_171538 0.5 558b322a77683911c4084aa5
20150625_171414 50 1 1 3 100000 117661523 8489 10000 1511 0 0 8489 9 10000 1 0 0 0 8489 10000 70 0 1000 6 57.155 16.739 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed117661523.log 5666027 q3-extractinstructions.txt 20150625_171546 0.5 558b322a77683911c4084aa6
20150625_171419 50 1 1 3 100000 105731136 8428 10000 1572 0 0 8428 9 10000 1 0 0 0 8428 10000 70 0 1000 5 61.145 16.317 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed105731136.log 5625374 q3-extractinstructions.txt 20150625_171555 0.5 558b322a77683911c4084aa7
20150625_171425 50 1 1 3 100000 967561224 8373 10000 1627 0 0 8373 9 10000 1 0 0 0 8373 10000 70 0 1000 5 62.005 16.864 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed967561224.log 5593697 q3-extractinstructions.txt 20150625_171601 0.5 558b322a77683911c4084aa8
20150625_171430 50 1 1 3 100000 420477893 8663 10000 1337 0 0 8663 9 10000 1 0 0 0 8663 10000 70 0 1000 8 65.598 16.91 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed420477893.log 5791284 q3-extractinstructions.txt 20150625_171610 0.5 558b322a77683911c4084aa9
20150625_171456 50 1 1 3 100000 263688301 8416 10000 1584 0 0 8416 9 10000 1 0 0 0 8416 10000 70 0 1000 6 75.370 15.444 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed263688301.log 5627181 q3-extractinstructions.txt 20150625_171642 0.5 558b322a77683911c4084aaa
20150625_171522 50 1 1 3 100000 50746969 8382 10000 1618 0 0 8382 9 10000 1 0 0 0 8382 10000 70 0 1000 4 71.673 15.491 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed50746969.log 5579930 q3-extractinstructions.txt 20150625_171704 0.5 558b322a77683911c4084aab
20150625_171536 50 1 1 3 100000 533657980 8207 10000 1793 0 0 8207 9 10000 1 0 0 0 8207 10000 70 0 1000 1 81.868 14.462 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed533657980.log 5467721 q3-extractinstructions.txt 20150625_171728 0.5 558b322a77683911c4084aac
20150625_171542 50 1 2 3 100000 919028296 2322 10000 249 8908 0 2322 9 10000 1 22271 22271 0 2145 10000 70 0 1000 6 180.413 43.913 ../Q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed919028296.log 16670423 q3-extractinstructions.txt 20150625_172005 0.5 558b322a77683911c4084aad
20150625_171602 50 1 2 3 100000 141246882 2393 10000 267 8899 0 2393 9 10000 1 22006 22006 0 2142 10000 70 0 1000 10 186.015 48.329 ../Q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed141246882.log 16655257 q3-extractinstructions.txt 20150625_172037 0.5 558b322a77683911c4084aaf
20150625_171557 50 1 2 3 100000 103765041 2747 10000 197 8800 0 2747 9 10000 1 23282 23282 0 2562 10000 70 0 1000 17 194.058 48.531 ../Q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed103765041.log 17716686 q3-extractinstructions.txt 20150625_172046 0.5 558b322a77683911c4084aae
20150625_171608 50 1 2 3 100000 681028781 2771 10000 185 8775 0 2771 9 10000 1 22812 22812 0 2548 10000 70 0 1000 19 196.556 48.298 ../Q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed681028781.log 17496697 q3-extractinstructions.txt 20150625_172059 0.5 558b322a77683911c4084ab0
20150625_171611 50 1 2 3 100000 117661523 2735 10000 197 8850 0 2735 9 10000 1 23117 23117 0 2489 10000 70 0 1000 18 197.945 46.987 ../Q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i70d0m1000_seed117661523.log 17643550 q3-extractinstructions.txt 20150625_172104 0.5 558b322a77683911c4084ab1
