timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20160817_165702 50 1 1 2 100000 919028296 8194 10000 1806 0 0 8194 0 0 0 0 0 0 0 0 100 0 0 1 0 9.639 7.125 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 3557369 hl-extractinstructions.txt 20160817_165738 0.5 57b1e6cf9c0cd80528e07d4a
20160817_165707 50 1 1 2 100000 103765041 8219 10000 1781 0 0 8219 0 0 0 0 0 0 0 0 100 0 0 1 0 11.263 7.875 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 3552357 hl-extractinstructions.txt 20160817_165745 0.5 57b1e6cf9c0cd80528e07d4b
20160817_165713 50 1 1 2 100000 141246882 8202 10000 1798 0 0 8202 0 0 0 0 0 0 0 0 100 0 0 1 0 12.242 9.109 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 3562525 hl-extractinstructions.txt 20160817_165751 0.5 57b1e6cf9c0cd80528e07d4c
20160817_165719 50 1 1 2 100000 681028781 8265 10000 1735 0 0 8265 0 0 0 0 0 0 0 0 100 0 0 1 0 13.024 9.374 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 3580882 hl-extractinstructions.txt 20160817_165755 0.5 57b1e6cf9c0cd80528e07d4d
20160817_165755 50 1 1 2 100000 117661523 8217 10000 1783 0 0 8217 0 0 0 0 0 0 0 0 100 0 0 1 0 9.949 7.218 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 3567975 hl-extractinstructions.txt 20160817_165831 0.5 57b1e6cf9c0cd80528e07d4e
20160817_165801 50 1 1 2 100000 105731136 8256 10000 1744 0 0 8256 0 0 0 0 0 0 0 0 100 0 0 1 0 11.846 8.281 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 3582045 hl-extractinstructions.txt 20160817_165839 0.5 57b1e6cf9c0cd80528e07d4f
20160817_165806 50 1 1 2 100000 967561224 8203 10000 1797 0 0 8203 0 0 0 0 0 0 0 0 100 0 0 1 0 12.834 9.406 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 3564669 hl-extractinstructions.txt 20160817_165844 0.5 57b1e6cf9c0cd80528e07d50
20160817_165812 50 1 1 2 100000 420477893 8299 10000 1701 0 0 8299 0 0 0 0 0 0 0 0 100 0 0 1 0 12.868 9.422 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 3597041 hl-extractinstructions.txt 20160817_165849 0.5 57b1e6cf9c0cd80528e07d51
20160817_165849 50 1 1 2 100000 263688301 8174 10000 1826 0 0 8174 0 0 0 0 0 0 0 0 100 0 0 1 0 10.665 7.36 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 3554393 hl-extractinstructions.txt 20160817_165926 0.5 57b1e6cf9c0cd80528e07d52
20160817_165854 50 1 1 2 100000 50746969 8237 10000 1763 0 0 8237 0 0 0 0 0 0 0 0 100 0 0 1 0 12.056 8.75 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed50746969.log 3555380 hl-extractinstructions.txt 20160817_165932 0.5 57b1e6cf9c0cd80528e07d53
