father,mother,gender,child
78.5,67,male,73.2
78.5,67,female,69.2
78.5,67,female,69
78.5,67,female,69
75.5,66.5,male,73.5
75.5,66.5,male,72.5
75.5,66.5,female,65.5
75.5,66.5,female,65.5
75,64,male,71
75,64,female,68
75,64,male,70.5
75,64,male,68.5
75,64,female,67
75,64,female,64.5
75,64,female,63
75,58.5,male,72
75,58.5,male,69
75,58.5,male,68
75,58.5,female,66.5
75,58.5,female,62.5
75,58.5,female,62.5
74,68,female,69.5
74,68,male,76.5
74,68,male,74
74,68,male,73
74,68,male,73
74,68,female,70.5
74,68,female,64
74,66.5,female,70.5
74,66.5,female,68
74,66.5,female,66
74.5,66,female,66
74,65.5,female,65.5
74,62,male,74
74,62,male,70
74,62,female,68
74,62,female,67
74,62,female,67
74,62,female,66
74,62,female,63.5
74,62,female,63
74,61,female,65
73,67,male,71
73,67,female,62
73,67,male,68
73,67,male,67
73,66.5,male,71
73,66.5,male,70.5
73,66.5,female,66.7
73,65,male,72
73,65,male,70.5
73,65,male,70.2
73,65,male,70.2
73,65,male,69.2
73,65,female,68.7
73,65,female,66.5
73,65,female,64.5
73,65,female,63.5
73,64.5,male,74
73,64.5,male,73
73,64.5,male,71.5
73,64.5,male,62.5
73,64.5,female,66.5
73,64.5,female,62.3
73,64,female,66
73,64,female,64.5
73,64,female,64
73.2,63,female,62.7
72.7,69,male,73.2
72.7,69,male,73
72.7,69,male,72.7
72.7,69,female,70
72.7,69,female,69
72.7,69,female,68.5
72.7,69,female,68
72.7,69,female,66
72,68,male,73
72,68,female,68.5
72,68,female,68
72,67,male,73
72,67,male,71
72,67,female,67
72,65,male,74.2
72,65,male,70.5
72,65,male,69.5
72,65,female,66
72,65,female,65.5
72,65,female,65
72,65,female,65
72,65.5,female,65.5
72,64,female,66
72,64,female,63
72,63,male,70.5
72,63,male,70.5
72,63,male,69
72,63,female,65
72,63,female,63
72,63,male,69
72,63,male,67
72,63,female,63
72,63,male,73
72,63,male,67
72,63,female,70.5
72,63,female,70
72,63,female,66.5
72,63,female,63
72.5,63.5,female,67.5
72.5,63.5,female,67.2
72.5,63.5,female,66.7
72,62,female,64
72.5,62,male,71
72.5,62,male,70
72.5,62,male,70
72.5,62,female,66
72.5,62,female,65
72.5,62,female,65
72,62,male,74
72,62,male,72
72,62,male,69
72,62,female,67.5
72,62,female,63.5
72,62,male,72
72,62,male,71.5
72,62,male,71.5
72,62,male,70
72,62,female,68
72,61,female,65.7
71,69,male,78
71,69,male,74
71,69,male,73
71,69,male,72
71,69,female,67
71,67,male,73.2
71,67,male,73
71,67,male,69
71,67,female,67
71,66,male,70
71,66,female,67
71,66,female,67
71,66,female,66.5
71,66,male,70
71,66,male,69
71,66,male,68.5
71,66,female,66
71,66,female,64.5
71,66,female,63
71,66,male,71
71,66,female,67
71,66,male,76
71,66,male,72
71,66,male,71
71,66,male,66
71,66,female,66
71.7,65.5,male,70.5
71,65.5,male,72
71,65.5,male,72
71,65.5,male,71
71,65.5,male,69
71,65.5,female,66
71,65.5,female,65
71.5,65.5,male,73
71.5,65.5,female,65.2
71.5,65,male,68.5
71.5,65,male,67.7
71,65,male,68
71,65,male,68
71,65,female,62
71,64,female,68
71,64,female,68
71,64,female,67.5
71,64,female,66.5
71,64,female,66.5
71,64,female,66
71,64,female,65.5
71,64,female,65
71.7,64.5,male,72
71.7,64.5,male,71
71.7,64.5,male,70.5
71.7,64.5,female,67
71,64,male,68
71,64,male,68
71,64,male,68
71.5,64.5,male,72
71.5,64.5,male,71
71.5,64.5,male,70
71.5,64.5,female,66
71.5,64.5,female,64.5
71.5,64.5,female,64.5
71.5,64.5,female,62
71,64.5,male,73
71,64.5,female,62
71.2,63,female,67.5
71.2,63,female,64.5
71,63.5,male,71
71,63.5,male,67
71,63.5,female,66
71,63.5,female,65
71,63.5,female,63.5
71,63,male,71
71,63,male,70
71,63,male,70
71,63,male,64
71,63,female,65
71,63,female,65
71,63,female,64
71,63,female,63
71,63,female,63
71,63,male,71
71,63,male,71
71,63,male,70
71,63,female,63.5
71,62,male,71
71,62,male,70
71,62,female,64.5
71,62,female,62.5
71,62,female,61.5
71,62,male,72
71,62,male,70.5
71,62,male,70.5
71,62,female,64.5
71,62,female,60
71,62.5,male,70
71,62.5,female,64
71,62.5,female,64
71,62.5,female,64
71,62.5,female,62.5
71,62,male,70.5
71,62,male,70
71,62,male,69
71,62,male,69
71,62,male,66
71,62,female,64.5
71,62,female,64
71,61,female,62
71,58,male,71.5
71,58,male,69
70,69,male,71
70,69,male,70
70,69,male,69
70,69,female,69
70,69,male,70
70,69,male,68.7
70,69,female,68
70,69,female,66
70,69,female,64
70,69,female,62
70,68,male,75
70,67,male,70
70,67,male,69
70,67,female,66
70,67,female,64
70,67,female,60
70,67,female,67.5
70,66.5,male,73
70,66.5,male,72
70,66.5,male,72
70,66.5,male,66.5
70,66.5,female,69.2
70,66.5,female,67.2
70,66.5,female,66.5
70,66.5,female,66
70,66.5,female,66
70,66.5,female,64.2
70,66.5,female,63.7
70.5,65,male,72
70.5,65,male,70.2
70.5,65,male,69
70.5,65,male,68.5
70.5,65,female,68
70.5,65,female,65
70.5,65,female,61.5
70.5,65,female,61
70.5,65,female,61
70,65,male,73
70,65,male,72
70,65,male,70.5
70,65,male,65
70,65,male,65
70,65,female,64.5
70,65,female,63
70,65,female,62
70,65,male,67
70,65,male,65
70,65,female,64.5
