timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20161009_170000 50 1 1 2 100000 919028296 8194 10000 1806 0 0 8194 0 0 0 0 0 0 0 0 100 0 0 1 0 29.797 8.031 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 3557369 hl-extractinstructions.txt 20161009_170057 0.5 57faaad17768393a5cc153f6
20161009_170001 50 1 1 2 100000 103765041 8219 10000 1781 0 0 8219 0 0 0 0 0 0 0 0 100 0 0 1 0 29.971 8.516 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 3552357 hl-extractinstructions.txt 20161009_170101 0.5 57faaad17768393a5cc153f7
20161009_170004 50 1 1 2 100000 141246882 8202 10000 1798 0 0 8202 0 0 0 0 0 0 0 0 100 0 0 1 0 30.266 8.53 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 3562523 hl-extractinstructions.txt 20161009_170105 0.5 57faaad17768393a5cc153f8
20161009_170005 50 1 1 2 100000 681028781 8265 10000 1735 0 0 8265 0 0 0 0 0 0 0 0 100 0 0 1 0 30.835 8.656 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 3580882 hl-extractinstructions.txt 20161009_170108 0.5 57faaad17768393a5cc153f9
20161009_170008 50 1 1 2 100000 117661523 8217 10000 1783 0 0 8217 0 0 0 0 0 0 0 0 100 0 0 1 0 30.996 8.812 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 3567975 hl-extractinstructions.txt 20161009_170112 0.5 57faaad17768393a5cc153fa
20161009_170010 50 1 1 2 100000 105731136 8256 10000 1744 0 0 8256 0 0 0 0 0 0 0 0 100 0 0 1 0 31.319 8.375 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 3582045 hl-extractinstructions.txt 20161009_170113 0.5 57faaad17768393a5cc153fb
20161009_170012 50 1 1 2 100000 967561224 8203 10000 1797 0 0 8203 0 0 0 0 0 0 0 0 100 0 0 1 0 31.663 8.563 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 3564669 hl-extractinstructions.txt 20161009_170116 0.5 57faaad17768393a5cc153fc
20161009_170015 50 1 1 2 100000 420477893 8299 10000 1701 0 0 8299 0 0 0 0 0 0 0 0 100 0 0 1 0 32.587 8.406 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 3597041 hl-extractinstructions.txt 20161009_170118 0.5 57faaad17768393a5cc153fd
20161009_170038 50 1 1 2 100000 263688301 8174 10000 1826 0 0 8174 0 0 0 0 0 0 0 0 100 0 0 1 0 47.987 9.422 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 3554395 hl-extractinstructions.txt 20161009_170153 0.5 57faaad17768393a5cc153fe
20161009_170040 50 1 1 2 100000 50746969 8237 10000 1763 0 0 8237 0 0 0 0 0 0 0 0 100 0 0 1 0 47.430 8.859 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed50746969.log 3555382 hl-extractinstructions.txt 20161009_170154 0.5 57faaad17768393a5cc153ff
