   span lifem cop2   cop3 cop4 cop5
2     1    10  928  116.3  5.5  0.0
3     1    20  431   38.3  1.1  0.0
4     1    30  291   16.9  0.3  0.0
5     1    50  176   14.6  0.0  0.0
6     1   100   94    4.1  0.0  0.0
7     1   200   45    1.8  0.0  0.0
8     1   300   32    2.6  0.0  0.0
9     1   500   18    0.8  0.0  0.0
10    1  1000   10    0.2  0.0  0.0
11    2    10 6574  293.8  9.9  0.3
12    2    20 3444  108.9  1.9  0.0
13    2    30 4759   75.2  0.5  0.0
14    2    50 4966   45.8  0.1  0.0
15    2   100 5815   16.4  0.0  0.0
16    2   200 4577   11.2  0.0  0.0
17    2   300 4567    6.4  0.0  0.0
18    2   500 4256    4.2  0.0  0.0
19    2  1000 5461    2.0  0.0  0.0
20    3    10 6574 3499.2 42.1  3.4
21    3    20 3444 2253.9 26.3  0.6
22    3    30 4759 2488.2  4.3  0.1
23    3    50 4966 2172.4  0.5  0.0
24    3   100 5815 1237.2  0.9  0.0
25    3   200 4577 1831.6  1.2  0.0
26    3   300 4567 3040.0  1.0  0.0
27    3   500 4256 2127.3  0.5  0.0
28    3  1000 5461 2123.8  0.2  0.0
   lifem span cop2   cop3 cop4 cop5
2     10    1  928  116.3  5.5  0.0
3     10    2 6574  293.8  9.9  0.3
4     10    3 6574 3499.2 42.1  3.4
5     20    1  431   38.3  1.1  0.0
6     20    2 3444  108.9  1.9  0.0
7     20    3 3444 2253.9 26.3  0.6
8     30    1  291   16.9  0.3  0.0
9     30    2 4759   75.2  0.5  0.0
10    30    3 4759 2488.2  4.3  0.1
11    50    1  176   14.6  0.0  0.0
12    50    2 4966   45.8  0.1  0.0
13    50    3 4966 2172.4  0.5  0.0
14   100    1   94    4.1  0.0  0.0
15   100    2 5815   16.4  0.0  0.0
16   100    3 5815 1237.2  0.9  0.0
17   200    1   45    1.8  0.0  0.0
18   200    2 4577   11.2  0.0  0.0
19   200    3 4577 1831.6  1.2  0.0
20   300    1   32    2.6  0.0  0.0
21   300    2 4567    6.4  0.0  0.0
22   300    3 4567 3040.0  1.0  0.0
23   500    1   18    0.8  0.0  0.0
24   500    2 4256    4.2  0.0  0.0
25   500    3 4256 2127.3  0.5  0.0
26  1000    1   10    0.2  0.0  0.0
27  1000    2 5461    2.0  0.0  0.0
28  1000    3 5461 2123.8  0.2  0.0
