timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150711_185944 50 1 1 3 100000 919028296 8709 10000 1291 0 0 8709 0 0 0 0 0 0 0 10000 80 0 1000 6 34.943 8.096 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed919028296.log 3797707 q3-extractinstructions.txt 20150711_190046 0.5 559f0b987768393544b9636c
20150711_185946 50 1 1 3 100000 103765041 8407 10000 1593 0 0 8407 0 0 0 0 0 0 0 10000 80 0 1000 3 34.392 8.111 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed103765041.log 3666173 q3-extractinstructions.txt 20150711_190048 0.5 559f0b987768393544b9636d
20150711_185948 50 1 1 3 100000 141246882 8435 10000 1565 0 0 8435 0 0 0 0 0 0 0 10000 80 0 1000 3 34.799 8.206 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed141246882.log 3668499 q3-extractinstructions.txt 20150711_190051 0.5 559f0b987768393544b9636e
20150711_185952 50 1 1 3 100000 117661523 8791 10000 1209 0 0 8791 0 0 0 0 0 0 0 10000 80 0 1000 6 35.874 9.438 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed117661523.log 3820397 q3-extractinstructions.txt 20150711_190058 0.5 559f0b987768393544b96370
20150711_185950 50 1 1 3 100000 681028781 9113 10000 887 0 0 9113 0 0 0 0 0 0 0 10000 80 0 1000 11 38.685 10.186 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed681028781.log 3986791 q3-extractinstructions.txt 20150711_190100 0.5 559f0b987768393544b9636f
20150711_185954 50 1 1 3 100000 105731136 8709 10000 1291 0 0 8709 0 0 0 0 0 0 0 10000 80 0 1000 6 36.246 8.924 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed105731136.log 3797507 q3-extractinstructions.txt 20150711_190101 0.5 559f0b987768393544b96371
20150711_185959 50 1 1 3 100000 420477893 8500 10000 1500 0 0 8500 0 0 0 0 0 0 0 10000 80 0 1000 3 35.234 8.83 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed420477893.log 3683904 q3-extractinstructions.txt 20150711_190103 0.5 559f0b987768393544b96373
20150711_185957 50 1 1 3 100000 967561224 8862 10000 1138 0 0 8862 0 0 0 0 0 0 0 10000 80 0 1000 8 37.262 8.876 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed967561224.log 3871814 q3-extractinstructions.txt 20150711_190104 0.5 559f0b987768393544b96372
20150711_190021 50 1 1 3 100000 263688301 9017 10000 983 0 0 9017 0 0 0 0 0 0 0 10000 80 0 1000 10 54.105 8.829 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed263688301.log 3941006 q3-extractinstructions.txt 20150711_190141 0.5 559f0b987768393544b96374
20150711_190034 50 1 1 3 100000 50746969 8651 10000 1349 0 0 8651 0 0 0 0 0 0 0 10000 80 0 1000 5 51.982 7.566 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed50746969.log 3768026 q3-extractinstructions.txt 20150711_190150 0.5 559f0b987768393544b96375
20150711_190106 50 1 1 3 100000 533657980 8989 10000 1011 0 0 8989 0 0 0 0 0 0 0 10000 80 0 1000 9 38.065 9.609 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed533657980.log 3927227 q3-extractinstructions.txt 20150711_190212 0.5 559f0b987768393544b96376
20150711_190108 50 1 1 3 100000 711283608 8849 10000 1151 0 0 8849 0 0 0 0 0 0 0 10000 80 0 1000 8 37.226 9.189 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed711283608.log 3870495 q3-extractinstructions.txt 20150711_190214 0.5 559f0b987768393544b96377
20150711_190111 50 1 1 3 100000 597296547 8821 10000 1179 0 0 8821 0 0 0 0 0 0 0 10000 80 0 1000 8 37.478 9.719 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed597296547.log 3851154 q3-extractinstructions.txt 20150711_190216 0.5 559f0b987768393544b96378
20150711_190113 50 1 1 3 100000 664375964 8841 10000 1159 0 0 8841 0 0 0 0 0 0 0 10000 80 0 1000 7 38.098 9.532 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed664375964.log 3849129 q3-extractinstructions.txt 20150711_190220 0.5 559f0b987768393544b96379
20150711_190115 50 1 1 3 100000 258760793 8619 10000 1381 0 0 8619 0 0 0 0 0 0 0 10000 80 0 1000 4 36.422 9.173 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed258760793.log 3746796 q3-extractinstructions.txt 20150711_190220 0.5 559f0b987768393544b9637a
20150711_190117 50 1 1 3 100000 666549275 8715 10000 1285 0 0 8715 0 0 0 0 0 0 0 10000 80 0 1000 6 40.635 9.64 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed666549275.log 3787291 q3-extractinstructions.txt 20150711_190225 0.5 559f0b987768393544b9637b
20150711_190119 50 1 1 3 100000 376517787 8909 10000 1091 0 0 8909 0 0 0 0 0 0 0 10000 80 0 1000 9 49.339 9.001 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed376517787.log 3883745 q3-extractinstructions.txt 20150711_190234 0.5 559f0b987768393544b9637c
20150711_190152 50 1 1 3 100000 817713633 8907 10000 1093 0 0 8907 0 0 0 0 0 0 0 10000 80 0 1000 9 52.829 7.832 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed817713633.log 3889563 q3-extractinstructions.txt 20150711_190311 0.5 559f0b987768393544b9637d
20150711_190155 50 1 1 3 100000 519606501 9166 10000 834 0 0 9166 0 0 0 0 0 0 0 10000 80 0 1000 13 53.021 8.144 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed519606501.log 4024583 q3-extractinstructions.txt 20150711_190316 0.5 559f0b987768393544b9637e
20150711_190235 50 1 1 5 100000 141246882 6574 10000 3426 0 0 6574 0 0 0 0 0 0 0 10000 80 0 1000 2 24.816 6.396 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed141246882.log 2804570 q3-extractinstructions.txt 20150711_190324 0.5 559f0b987768393544b963ec
20150711_190231 50 1 1 5 100000 919028296 7235 10000 2765 0 0 7235 0 0 0 0 0 0 0 10000 80 0 1000 9 28.009 6.989 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed919028296.log 3106151 q3-extractinstructions.txt 20150711_190324 0.5 559f0b987768393544b963ea
20150711_190233 50 1 1 5 100000 103765041 6926 10000 3074 0 0 6926 0 0 0 0 0 0 0 10000 80 0 1000 5 26.399 6.692 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed103765041.log 2965552 q3-extractinstructions.txt 20150711_190324 0.5 559f0b987768393544b963eb
20150711_190237 50 1 1 5 100000 681028781 6856 10000 3144 0 0 6856 0 0 0 0 0 0 0 10000 80 0 1000 6 27.134 7.052 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed681028781.log 2922965 q3-extractinstructions.txt 20150711_190328 0.5 559f0b987768393544b963ed
20150711_190229 50 1 1 3 100000 792850679 8588 10000 1412 0 0 8588 0 0 0 0 0 0 0 10000 80 0 1000 5 35.032 8.565 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed792850679.log 3733668 q3-extractinstructions.txt 20150711_190331 0.5 559f0b987768393544b96380
20150711_190227 50 1 1 3 100000 715258232 8835 10000 1165 0 0 8835 0 0 0 0 0 0 0 10000 80 0 1000 7 37.724 9.579 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i80d0m1000_seed715258232.log 3848640 q3-extractinstructions.txt 20150711_190333 0.5 559f0b987768393544b9637f
20150711_190249 50 1 1 5 100000 117661523 7121 10000 2879 0 0 7121 0 0 0 0 0 0 0 10000 80 0 1000 6 42.333 6.272 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed117661523.log 3040477 q3-extractinstructions.txt 20150711_190353 0.5 559f0b987768393544b963ee
20150711_190324 50 1 1 5 100000 105731136 7107 10000 2893 0 0 7107 0 0 0 0 0 0 0 10000 80 0 1000 6 33.780 5.321 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed105731136.log 3055474 q3-extractinstructions.txt 20150711_190417 0.5 559f0b987768393544b963ef
20150711_190334 50 1 1 5 100000 967561224 6644 10000 3356 0 0 6644 0 0 0 0 0 0 0 10000 80 0 1000 3 32.148 4.711 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed967561224.log 2831123 q3-extractinstructions.txt 20150711_190425 0.5 559f0b987768393544b963f0
20150711_190336 50 1 1 5 100000 420477893 7113 10000 2887 0 0 7113 0 0 0 0 0 0 0 10000 80 0 1000 8 35.616 5.18 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed420477893.log 3038159 q3-extractinstructions.txt 20150711_190434 0.5 559f0b987768393544b963f1
20150711_190339 50 1 1 5 100000 263688301 7324 10000 2676 0 0 7324 0 0 0 0 0 0 0 10000 80 0 1000 9 37.718 5.85 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed263688301.log 3139179 q3-extractinstructions.txt 20150711_190440 0.5 559f0b987768393544b963f2
20150711_190341 50 1 1 5 100000 50746969 6989 10000 3011 0 0 6989 0 0 0 0 0 0 0 10000 80 0 1000 5 35.994 5.475 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed50746969.log 2981142 q3-extractinstructions.txt 20150711_190440 0.5 559f0b987768393544b963f3
20150711_190343 50 1 1 5 100000 533657980 7265 10000 2735 0 0 7265 0 0 0 0 0 0 0 10000 80 0 1000 7 36.405 6.443 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed533657980.log 3117584 q3-extractinstructions.txt 20150711_190442 0.5 559f0b987768393544b963f4
20150711_190346 50 1 1 5 100000 711283608 7180 10000 2820 0 0 7180 0 0 0 0 0 0 0 10000 80 0 1000 7 35.245 5.928 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed711283608.log 3082805 q3-extractinstructions.txt 20150711_190443 0.5 559f0b987768393544b963f5
20150711_190357 50 1 1 5 100000 597296547 7175 10000 2825 0 0 7175 0 0 0 0 0 0 0 10000 80 0 1000 7 37.218 5.6 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed597296547.log 3069315 q3-extractinstructions.txt 20150711_190454 0.5 559f0b987768393544b963f6
20150711_190410 50 1 1 5 100000 664375964 7409 10000 2591 0 0 7409 0 0 0 0 0 0 0 10000 80 0 1000 9 38.444 6.582 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed664375964.log 3181498 q3-extractinstructions.txt 20150711_190509 0.5 559f0b987768393544b963f7
20150711_190421 50 1 1 5 100000 258760793 6677 10000 3323 0 0 6677 0 0 0 0 0 0 0 10000 80 0 1000 2 33.085 5.553 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed258760793.log 2839053 q3-extractinstructions.txt 20150711_190514 0.5 559f0b987768393544b963f8
20150711_190446 50 1 1 5 100000 376517787 6771 10000 3229 0 0 6771 0 0 0 0 0 0 0 10000 80 0 1000 4 28.398 5.039 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed376517787.log 2875921 q3-extractinstructions.txt 20150711_190535 0.5 559f0b987768393544b963fa
20150711_190444 50 1 1 5 100000 666549275 6962 10000 3038 0 0 6962 0 0 0 0 0 0 0 10000 80 0 1000 5 29.541 5.163 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed666549275.log 2972259 q3-extractinstructions.txt 20150711_190534 0.5 559f0b987768393544b963f9
20150711_190458 50 1 1 5 100000 817713633 7230 10000 2770 0 0 7230 0 0 0 0 0 0 0 10000 80 0 1000 8 30.197 6.084 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed817713633.log 3101766 q3-extractinstructions.txt 20150711_190550 0.5 559f0b987768393544b963fb
20150711_190500 50 1 1 5 100000 519606501 7002 10000 2998 0 0 7002 0 0 0 0 0 0 0 10000 80 0 1000 5 28.707 6.443 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed519606501.log 2998317 q3-extractinstructions.txt 20150711_190551 0.5 559f0b987768393544b963fc
20150711_190516 50 1 1 10 100000 919028296 5006 10000 4994 0 0 5006 0 0 0 0 0 0 0 10000 80 0 1000 10 19.965 4.633 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed919028296.log 2108739 q3-extractinstructions.txt 20150711_190554 0.5 559f0b987768393544b96468
20150711_190505 50 1 1 5 100000 792850679 6951 10000 3049 0 0 6951 0 0 0 0 0 0 0 10000 80 0 1000 5 26.886 6.115 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed792850679.log 2965235 q3-extractinstructions.txt 20150711_190554 0.5 559f0b987768393544b963fe
20150711_190518 50 1 1 10 100000 103765041 4975 10000 5025 0 0 4975 0 0 0 0 0 0 0 10000 80 0 1000 10 19.927 4.243 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed103765041.log 2087736 q3-extractinstructions.txt 20150711_190556 0.5 559f0b987768393544b96469
20150711_190503 50 1 1 5 100000 715258232 7653 10000 2347 0 0 7653 0 0 0 0 0 0 0 10000 80 0 1000 11 30.791 7.114 ../q3/./log/doc50cop1shlf1lif5_af0s1tTOTAL_gf10000i80d0m1000_seed715258232.log 3286784 q3-extractinstructions.txt 20150711_190558 0.5 559f0b987768393544b963fd
20150711_190531 50 1 1 10 100000 141246882 4071 10000 5929 0 0 4071 0 0 0 0 0 0 0 10000 80 0 1000 1 23.138 3.073 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed141246882.log 1697082 q3-extractinstructions.txt 20150711_190608 0.5 559f0b987768393544b9646a
20150711_190556 50 1 1 10 100000 117661523 4293 10000 5707 0 0 4293 0 0 0 0 0 0 0 10000 80 0 1000 4 17.820 2.917 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed117661523.log 1777274 q3-extractinstructions.txt 20150711_190629 0.5 559f0b987768393544b9646c
20150711_190558 50 1 1 10 100000 105731136 4299 10000 5701 0 0 4299 0 0 0 0 0 0 0 10000 80 0 1000 3 17.802 3.011 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed105731136.log 1788624 q3-extractinstructions.txt 20150711_190632 0.5 559f0b987768393544b9646d
20150711_190559 50 1 1 10 100000 967561224 4247 10000 5753 0 0 4247 0 0 0 0 0 0 0 10000 80 0 1000 3 17.589 2.824 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed967561224.log 1766365 q3-extractinstructions.txt 20150711_190633 0.5 559f0b987768393544b9646e
20150711_190554 50 1 1 10 100000 681028781 5217 10000 4783 0 0 5217 0 0 0 0 0 0 0 10000 80 0 1000 12 21.772 3.65 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed681028781.log 2192807 q3-extractinstructions.txt 20150711_190634 0.5 559f0b987768393544b9646b
20150711_190611 50 1 1 10 100000 420477893 4471 10000 5529 0 0 4471 0 0 0 0 0 0 0 10000 80 0 1000 5 23.896 3.323 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed420477893.log 1858919 q3-extractinstructions.txt 20150711_190649 0.5 559f0b987768393544b9646f
20150711_190614 50 1 1 10 100000 263688301 4715 10000 5285 0 0 4715 0 0 0 0 0 0 0 10000 80 0 1000 8 24.233 3.121 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed263688301.log 1970729 q3-extractinstructions.txt 20150711_190654 0.5 559f0b987768393544b96470
20150711_190616 50 1 1 10 100000 50746969 4852 10000 5148 0 0 4852 0 0 0 0 0 0 0 10000 80 0 1000 9 24.140 2.792 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed50746969.log 2030910 q3-extractinstructions.txt 20150711_190657 0.5 559f0b987768393544b96471
20150711_190625 50 1 1 10 100000 597296547 4182 10000 5818 0 0 4182 0 0 0 0 0 0 0 10000 80 0 1000 2 20.365 2.62 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed597296547.log 1731794 q3-extractinstructions.txt 20150711_190701 0.5 559f0b987768393544b96474
20150711_190618 50 1 1 10 100000 533657980 4921 10000 5079 0 0 4921 0 0 0 0 0 0 0 10000 80 0 1000 9 25.843 3.197 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed533657980.log 2062989 q3-extractinstructions.txt 20150711_190701 0.5 559f0b987768393544b96472
20150711_190621 50 1 1 10 100000 711283608 4699 10000 5301 0 0 4699 0 0 0 0 0 0 0 10000 80 0 1000 7 24.730 3.182 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed711283608.log 1963394 q3-extractinstructions.txt 20150711_190703 0.5 559f0b987768393544b96473
20150711_190645 50 1 1 10 100000 664375964 4591 10000 5409 0 0 4591 0 0 0 0 0 0 0 10000 80 0 1000 6 23.136 3.26 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed664375964.log 1912761 q3-extractinstructions.txt 20150711_190723 0.5 559f0b987768393544b96475
20150711_190647 50 1 1 10 100000 258760793 4335 10000 5665 0 0 4335 0 0 0 0 0 0 0 10000 80 0 1000 3 21.605 3.308 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed258760793.log 1799070 q3-extractinstructions.txt 20150711_190724 0.5 559f0b987768393544b96476
20150711_190650 50 1 1 10 100000 666549275 4193 10000 5807 0 0 4193 0 0 0 0 0 0 0 10000 80 0 1000 2 19.615 2.995 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed666549275.log 1731338 q3-extractinstructions.txt 20150711_190724 0.5 559f0b987768393544b96477
20150711_190653 50 1 1 10 100000 376517787 4774 10000 5226 0 0 4774 0 0 0 0 0 0 0 10000 80 0 1000 8 19.814 3.448 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed376517787.log 1982951 q3-extractinstructions.txt 20150711_190728 0.5 559f0b987768393544b96478
20150711_190706 50 1 1 10 100000 519606501 4415 10000 5585 0 0 4415 0 0 0 0 0 0 0 10000 80 0 1000 4 20.515 2.87 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed519606501.log 1836836 q3-extractinstructions.txt 20150711_190741 0.5 559f0b987768393544b9647a
20150711_190704 50 1 1 10 100000 817713633 4940 10000 5060 0 0 4940 0 0 0 0 0 0 0 10000 80 0 1000 10 22.652 3.432 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed817713633.log 2067013 q3-extractinstructions.txt 20150711_190743 0.5 559f0b987768393544b96479
20150711_190720 50 1 1 10 100000 715258232 4630 10000 5370 0 0 4630 0 0 0 0 0 0 0 10000 80 0 1000 6 21.380 2.901 ../q3/./log/doc50cop1shlf1lif10_af0s1tTOTAL_gf10000i80d0m1000_seed715258232.log 1930727 q3-extractinstructions.txt 20150711_190757 0.5 559f0b987768393544b9647b
20150711_190733 50 1 1 20 100000 919028296 2772 10000 7228 0 0 2772 0 0 0 0 0 0 0 10000 80 0 1000 8 12.245 2.278 ../q3/./log/doc50cop1shlf1lif20_af0s1tTOTAL_gf10000i80d0m1000_seed919028296.log 1136270 q3-extractinstructions.txt 20150711_190757 0.5 559f0b987768393544b964e6
