timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150711_192348 50 1 1 3 100000 141246882 8578 10000 1422 0 0 8578 0 0 0 0 0 0 0 10000 90 0 1000 2 34.718 8.83 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed141246882.log 3736971 q3-extractinstructions.txt 20150711_192448 0.5 559f0bc17768393544bafcee
20150711_192344 50 1 1 3 100000 919028296 9348 10000 652 0 0 9348 0 0 0 0 0 0 0 10000 90 0 1000 7 38.136 10.281 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed919028296.log 4093683 q3-extractinstructions.txt 20150711_192450 0.5 559f0bc17768393544bafcec
20150711_192346 50 1 1 3 100000 103765041 9219 10000 781 0 0 9219 0 0 0 0 0 0 0 10000 90 0 1000 6 37.343 9.501 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed103765041.log 4037185 q3-extractinstructions.txt 20150711_192451 0.5 559f0bc17768393544bafced
20150711_192350 50 1 1 3 100000 681028781 9667 10000 333 0 0 9667 0 0 0 0 0 0 0 10000 90 0 1000 14 41.620 12.62 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed681028781.log 4264589 q3-extractinstructions.txt 20150711_192503 0.5 559f0bc17768393544bafcef
20150711_192355 50 1 1 3 100000 105731136 9124 10000 876 0 0 9124 0 0 0 0 0 0 0 10000 90 0 1000 5 38.964 10.156 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed105731136.log 3993808 q3-extractinstructions.txt 20150711_192504 0.5 559f0bc17768393544bafcf1
20150711_192352 50 1 1 3 100000 117661523 9529 10000 471 0 0 9529 0 0 0 0 0 0 0 10000 90 0 1000 10 40.511 11.84 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed117661523.log 4181354 q3-extractinstructions.txt 20150711_192504 0.5 559f0bc17768393544bafcf0
20150711_192357 50 1 1 3 100000 967561224 9138 10000 862 0 0 9138 0 0 0 0 0 0 0 10000 90 0 1000 6 41.535 9.782 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed967561224.log 3996270 q3-extractinstructions.txt 20150711_192508 0.5 559f0bc17768393544bafcf2
20150711_192359 50 1 1 3 100000 420477893 8835 10000 1165 0 0 8835 0 0 0 0 0 0 0 10000 90 0 1000 3 40.714 8.767 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed420477893.log 3844725 q3-extractinstructions.txt 20150711_192508 0.5 559f0bc17768393544bafcf3
20150711_192443 50 1 1 3 100000 263688301 9358 10000 642 0 0 9358 0 0 0 0 0 0 0 10000 90 0 1000 8 51.257 8.564 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed263688301.log 4104080 q3-extractinstructions.txt 20150711_192603 0.5 559f0bc17768393544bafcf4
20150711_192458 50 1 1 3 100000 50746969 8757 10000 1243 0 0 8757 0 0 0 0 0 0 0 10000 90 0 1000 3 37.744 7.347 ../q3/./log/doc50cop1shlf1lif3_af0s1tTOTAL_gf10000i90d0m1000_seed50746969.log 3814938 q3-extractinstructions.txt 20150711_192603 0.5 559f0bc17768393544bafcf5
