timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150712_085325 50 1 1 3 100000 919028296 8379 10000 1621 0 0 8379 9 10000 1 0 0 0 8379 10000 67 0 1000 5 48.288 17.645 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed919028296.log 5595885 q3-extractinstructions.txt 20150712_085448 0.5 559f0b717768393544b7dd1e
20150712_085330 50 1 1 3 100000 141246882 8129 10000 1871 0 0 8129 9 10000 1 0 0 0 8129 10000 67 0 1000 1 48.106 17.003 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed141246882.log 5419544 q3-extractinstructions.txt 20150712_085453 0.5 559f0b717768393544b7dd20
20150712_085327 50 1 1 3 100000 103765041 8715 10000 1285 0 0 8715 9 10000 1 0 0 0 8715 10000 67 0 1000 13 51.963 18.392 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed103765041.log 5827120 q3-extractinstructions.txt 20150712_085458 0.5 559f0b717768393544b7dd1f
20150712_085332 50 1 1 3 100000 681028781 8635 10000 1365 0 0 8635 9 10000 1 0 0 0 8635 10000 67 0 1000 8 51.796 18.565 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed681028781.log 5772549 q3-extractinstructions.txt 20150712_085503 0.5 559f0b717768393544b7dd21
20150712_085334 50 1 1 3 100000 117661523 8334 10000 1666 0 0 8334 9 10000 1 0 0 0 8334 10000 67 0 1000 4 51.322 18.205 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed117661523.log 5559377 q3-extractinstructions.txt 20150712_085504 0.5 559f0b717768393544b7dd22
20150712_085336 50 1 1 3 100000 105731136 8455 10000 1545 0 0 8455 9 10000 1 0 0 0 8455 10000 67 0 1000 6 55.107 18.533 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed105731136.log 5644031 q3-extractinstructions.txt 20150712_085510 0.5 559f0b717768393544b7dd23
20150712_085338 50 1 1 3 100000 967561224 8461 10000 1539 0 0 8461 9 10000 1 0 0 0 8461 10000 67 0 1000 7 59.626 18.205 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed967561224.log 5650747 q3-extractinstructions.txt 20150712_085516 0.5 559f0b717768393544b7dd24
20150712_085341 50 1 1 3 100000 420477893 8436 10000 1564 0 0 8436 9 10000 1 0 0 0 8436 10000 67 0 1000 5 60.637 17.55 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed420477893.log 5632167 q3-extractinstructions.txt 20150712_085518 0.5 559f0b717768393544b7dd25
20150712_085423 50 1 1 3 100000 263688301 8494 10000 1506 0 0 8494 9 10000 1 0 0 0 8494 10000 67 0 1000 7 75.896 13.852 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed263688301.log 5668895 q3-extractinstructions.txt 20150712_085613 0.5 559f0b717768393544b7dd26
20150712_085509 50 1 1 3 100000 533657980 8192 10000 1808 0 0 8192 9 10000 1 0 0 0 8192 10000 67 0 1000 1 53.633 16.848 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed533657980.log 5457305 q3-extractinstructions.txt 20150712_085636 0.5 559f0b717768393544b7dd28
20150712_085507 50 1 1 3 100000 50746969 8382 10000 1618 0 0 8382 9 10000 1 0 0 0 8382 10000 67 0 1000 5 55.191 17.426 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed50746969.log 5588265 q3-extractinstructions.txt 20150712_085637 0.5 559f0b717768393544b7dd27
20150712_085511 50 1 1 3 100000 711283608 8505 10000 1495 0 0 8505 9 10000 1 0 0 0 8505 10000 67 0 1000 7 55.584 17.207 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed711283608.log 5681748 q3-extractinstructions.txt 20150712_085642 0.5 559f0b717768393544b7dd29
20150712_085522 50 1 1 3 100000 597296547 8575 10000 1425 0 0 8575 9 10000 1 0 0 0 8575 10000 67 0 1000 9 60.076 17.222 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed597296547.log 5719610 q3-extractinstructions.txt 20150712_085658 0.5 559f0b717768393544b7dd2a
20150712_085524 50 1 1 3 100000 664375964 8443 10000 1557 0 0 8443 9 10000 1 0 0 0 8443 10000 67 0 1000 6 59.655 17.206 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed664375964.log 5642332 q3-extractinstructions.txt 20150712_085700 0.5 559f0b717768393544b7dd2b
20150712_085526 50 1 1 3 100000 258760793 8444 10000 1556 0 0 8444 9 10000 1 0 0 0 8443 10000 67 0 1000 6 59.781 16.988 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed258760793.log 5636146 q3-extractinstructions.txt 20150712_085701 0.5 559f0b717768393544b7dd2c
20150712_085529 50 1 1 3 100000 666549275 8603 10000 1397 0 0 8603 9 10000 1 0 0 0 8603 10000 67 0 1000 10 63.337 17.971 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed666549275.log 5746351 q3-extractinstructions.txt 20150712_085708 0.5 559f0b717768393544b7dd2d
20150712_085541 50 1 1 3 100000 376517787 8636 10000 1364 0 0 8636 9 10000 1 0 0 0 8636 10000 67 0 1000 11 77.364 18.298 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed376517787.log 5772073 q3-extractinstructions.txt 20150712_085733 0.5 559f0b717768393544b7dd2e
20150712_085647 50 1 1 3 100000 817713633 8584 10000 1416 0 0 8584 9 10000 1 0 0 0 8584 10000 67 0 1000 9 58.382 17.597 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed817713633.log 5742414 q3-extractinstructions.txt 20150712_085822 0.5 559f0b717768393544b7dd2f
20150712_085657 50 1 1 3 100000 519606501 8531 10000 1469 0 0 8531 9 10000 1 0 0 0 8531 10000 67 0 1000 7 53.145 18.142 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed519606501.log 5702582 q3-extractinstructions.txt 20150712_085827 0.5 559f0b717768393544b7dd30
20150712_085659 50 1 1 3 100000 715258232 8449 10000 1551 0 0 8449 9 10000 1 0 0 0 8448 10000 67 0 1000 5 51.595 17.862 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed715258232.log 5635249 q3-extractinstructions.txt 20150712_085827 0.5 559f0b717768393544b7dd31
20150712_085701 50 1 1 3 100000 792850679 8384 10000 1616 0 0 8384 9 10000 1 0 0 0 8384 10000 67 0 1000 5 51.686 17.503 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed792850679.log 5583350 q3-extractinstructions.txt 20150712_085829 0.5 559f0b717768393544b7dd32
20150712_085702 50 1 2 3 100000 919028296 2325 10000 261 8914 0 2325 9 10000 1 22459 22459 0 2144 10000 67 0 1000 8 145.952 49.593 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed919028296.log 16797555 q3-extractinstructions.txt 20150712_090103 0.5 559f0b717768393544b7dd33
20150712_085717 50 1 2 3 100000 141246882 2321 10000 279 8849 0 2321 9 10000 1 22105 22105 0 2098 10000 67 0 1000 11 146.429 51.496 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed141246882.log 16672677 q3-extractinstructions.txt 20150712_090119 0.5 559f0b717768393544b7dd35
20150712_085715 50 1 2 3 100000 103765041 2914 10000 174 8787 0 2914 9 10000 1 23281 23281 0 2634 10000 67 0 1000 25 157.338 54.772 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed103765041.log 17938205 q3-extractinstructions.txt 20150712_090135 0.5 559f0b717768393544b7dd34
20150712_085739 50 1 2 3 100000 681028781 2617 10000 243 8771 0 2617 9 10000 1 23120 23120 0 2420 10000 67 0 1000 19 158.921 53.275 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed681028781.log 17552362 q3-extractinstructions.txt 20150712_090158 0.5 559f0b717768393544b7dd36
20150712_085751 50 1 2 3 100000 117661523 2512 10000 226 8884 0 2512 9 10000 1 22675 22675 0 2297 10000 67 0 1000 11 156.552 51.76 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed117661523.log 17084354 q3-extractinstructions.txt 20150712_090205 0.5 559f0b717768393544b7dd37
20150712_085834 50 1 2 3 100000 105731136 2437 10000 276 8827 0 2437 9 10000 1 22471 22471 0 2226 10000 67 0 1000 12 158.950 54.865 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed105731136.log 16893836 q3-extractinstructions.txt 20150712_090242 0.5 559f0b717768393544b7dd38
20150712_085848 50 1 2 3 100000 420477893 2574 10000 232 8877 0 2574 9 10000 1 22959 22959 0 2362 10000 67 0 1000 18 170.872 56.16 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed420477893.log 17314165 q3-extractinstructions.txt 20150712_090310 0.5 559f0b717768393544b7dd3a
20150712_085846 50 1 2 3 100000 967561224 2691 10000 205 8870 0 2691 9 10000 1 23302 23302 0 2534 10000 67 0 1000 20 173.115 55.833 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed967561224.log 17664951 q3-extractinstructions.txt 20150712_090312 0.5 559f0b717768393544b7dd39
20150712_085931 50 1 2 3 100000 263688301 2527 10000 246 8856 0 2527 9 10000 1 22627 22627 0 2343 10000 67 0 1000 14 196.668 50.763 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed263688301.log 17103964 q3-extractinstructions.txt 20150712_090416 0.5 559f0b717768393544b7dd3b
20150712_090125 50 1 2 3 100000 50746969 2627 10000 243 8776 0 2627 9 10000 1 22907 22907 0 2450 10000 67 0 1000 16 182.548 49.39 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed50746969.log 17375558 q3-extractinstructions.txt 20150712_090602 0.5 559f0b717768393544b7dd3c
20150712_090212 50 1 2 3 100000 597296547 2381 10000 239 8913 0 2381 9 10000 1 22436 22436 0 2126 10000 67 0 1000 11 159.774 49.919 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed597296547.log 16877574 q3-extractinstructions.txt 20150712_090622 0.5 559f0b717768393544b7dd3f
20150712_090209 50 1 2 3 100000 711283608 2463 10000 240 8904 0 2463 9 10000 1 22275 22275 0 2198 10000 67 0 1000 14 161.578 50.325 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed711283608.log 16881808 q3-extractinstructions.txt 20150712_090622 0.5 559f0b717768393544b7dd3e
20150712_090148 50 1 2 3 100000 533657980 2649 10000 212 8893 0 2649 9 10000 1 23173 23173 0 2439 10000 67 0 1000 17 182.252 52.915 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed533657980.log 17568948 q3-extractinstructions.txt 20150712_090624 0.5 559f0b717768393544b7dd3d
20150712_090254 50 1 2 3 100000 664375964 2667 10000 236 8869 0 2667 9 10000 1 22991 22991 0 2408 10000 67 0 1000 17 195.753 51.214 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed664375964.log 17510469 q3-extractinstructions.txt 20150712_090736 0.5 559f0b717768393544b7dd40
20150712_090315 50 1 2 3 100000 258760793 2587 10000 225 8900 0 2587 9 10000 1 22742 22742 0 2354 10000 67 0 1000 14 196.081 48.875 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed258760793.log 17265283 q3-extractinstructions.txt 20150712_090756 0.5 559f0b717768393544b7dd41
20150712_090328 50 1 2 3 100000 666549275 2456 10000 258 8866 0 2456 9 10000 1 22593 22593 0 2244 10000 67 0 1000 11 195.418 46.363 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed666549275.log 17003927 q3-extractinstructions.txt 20150712_090807 0.5 559f0b717768393544b7dd42
20150712_090420 50 1 2 3 100000 376517787 2497 10000 248 8910 0 2497 9 10000 1 22814 22814 0 2287 10000 67 0 1000 16 224.319 41.823 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed376517787.log 17196203 q3-extractinstructions.txt 20150712_090927 0.5 559f0b717768393544b7dd43
20150712_090433 50 1 2 3 100000 817713633 2711 10000 192 8900 0 2711 9 10000 1 23567 23567 0 2525 10000 67 0 1000 22 248.617 42.354 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed817713633.log 17812274 q3-extractinstructions.txt 20150712_091016 0.5 559f0b717768393544b7dd44
20150712_090455 50 1 2 3 100000 519606501 2428 10000 211 8923 0 2428 9 10000 1 22922 22922 0 2248 10000 67 0 1000 11 255.859 38.345 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed519606501.log 17170756 q3-extractinstructions.txt 20150712_091047 0.5 559f0b717768393544b7dd45
20150712_090628 50 1 2 3 100000 715258232 2639 10000 204 8909 0 2639 9 10000 1 22991 22991 0 2359 10000 67 0 1000 23 240.960 38.844 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed715258232.log 17551506 q3-extractinstructions.txt 20150712_091210 0.5 559f0b717768393544b7dd46
20150712_090640 50 1 2 3 100000 792850679 2448 10000 235 8883 0 2448 9 10000 1 22541 22541 0 2243 10000 67 0 1000 13 233.182 34.476 ../q3/./log/doc50cop2shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed792850679.log 16998241 q3-extractinstructions.txt 20150712_091211 0.5 559f0b717768393544b7dd47
20150712_090744 50 1 3 3 100000 919028296 507 10000 40 9756 5248 507 9 10000 1 44150 31394 6378 458 10000 67 0 1000 29 347.356 78.983 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed919028296.log 28058100 q3-extractinstructions.txt 20150712_091637 0.5 559f0b717768393544b7dd48
20150712_090808 50 1 3 3 100000 141246882 450 10000 47 9759 5145 450 9 10000 1 43504 30778 6363 396 10000 67 0 1000 22 340.612 81.106 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed141246882.log 27388642 q3-extractinstructions.txt 20150712_091652 0.5 559f0b717768393544b7dd4a
20150712_090805 50 1 3 3 100000 103765041 463 10000 36 9757 5301 463 9 10000 1 44352 31214 6569 415 10000 67 0 1000 30 346.839 82.665 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed103765041.log 28092556 q3-extractinstructions.txt 20150712_091700 0.5 559f0b717768393544b7dd49
20150712_090932 50 1 3 3 100000 681028781 483 10000 29 9756 5289 483 9 10000 1 44462 31290 6586 440 10000 67 0 1000 27 331.047 94.958 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed681028781.log 28135315 q3-extractinstructions.txt 20150712_091811 0.5 559f0b717768393544b7dd4b
20150712_091036 50 1 3 3 100000 105731136 424 10000 23 9767 5102 424 9 10000 1 43759 31075 6342 374 10000 67 0 1000 23 326.713 92.929 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed105731136.log 27519805 q3-extractinstructions.txt 20150712_091904 0.5 559f0b717768393544b7dd4d
20150712_091024 50 1 3 3 100000 117661523 471 10000 34 9758 5241 471 9 10000 1 44107 31181 6463 413 10000 67 0 1000 25 340.848 98.093 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed117661523.log 27907424 q3-extractinstructions.txt 20150712_091908 0.5 559f0b717768393544b7dd4c
20150712_091219 50 1 3 3 100000 967561224 456 10000 39 9751 5090 456 9 10000 1 43225 30851 6187 412 10000 67 0 1000 19 337.202 101.026 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed967561224.log 27378935 q3-extractinstructions.txt 20150712_092042 0.5 559f0b717768393544b7dd4e
20150712_091230 50 1 3 3 100000 420477893 449 10000 46 9751 5090 449 9 10000 1 43199 30869 6165 395 10000 67 0 1000 29 341.232 100.215 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed420477893.log 27373217 q3-extractinstructions.txt 20150712_092055 0.5 559f0b717768393544b7dd4f
20150712_091353 50 1 3 3 100000 263688301 508 10000 33 9743 5592 508 9 10000 1 45706 31780 6963 456 10000 67 0 1000 37 405.524 98.717 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed263688301.log 28965169 q3-extractinstructions.txt 20150712_092327 0.5 559f0b717768393544b7dd50
20150712_091659 50 1 3 3 100000 50746969 489 10000 36 9711 5275 489 9 10000 1 44304 31086 6609 438 10000 67 0 1000 27 339.961 94.771 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed50746969.log 27946409 q3-extractinstructions.txt 20150712_092532 0.5 559f0b717768393544b7dd51
20150712_091721 50 1 3 3 100000 533657980 451 10000 42 9755 5244 451 9 10000 1 44530 31460 6535 407 10000 67 0 1000 32 338.287 95.161 ../q3/./log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf10000i67d0m1000_seed533657980.log 28096560 q3-extractinstructions.txt 20150712_092556 0.5 559f0b717768393544b7dd52
