timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150712_191004 50 1 1 3 100000 919028296 8326 10000 1674 0 0 8326 9 10000 1 0 0 0 8326 10000 80 0 1000 2 49.843 16.676 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed919028296.log 5553324 q3-extractinstructions.txt 20150712_191131 0.5 559f0b9a7768393544b9769e
20150712_191009 50 1 1 3 100000 141246882 8191 10000 1809 0 0 8191 9 10000 1 0 0 0 8191 10000 80 0 1000 1 49.910 17.051 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed141246882.log 5463073 q3-extractinstructions.txt 20150712_191136 0.5 559f0b9a7768393544b976a0
20150712_191007 50 1 1 3 100000 103765041 9128 10000 872 0 0 9128 9 10000 1 0 0 0 9128 10000 80 0 1000 13 55.174 18.892 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed103765041.log 6119408 q3-extractinstructions.txt 20150712_191144 0.5 559f0b9a7768393544b9769f
20150712_191013 50 1 1 3 100000 117661523 8734 10000 1266 0 0 8734 9 10000 1 0 0 0 8734 10000 80 0 1000 7 52.035 17.191 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed117661523.log 5843169 q3-extractinstructions.txt 20150712_191147 0.5 559f0b9a7768393544b976a2
20150712_191017 50 1 1 3 100000 967561224 8297 10000 1703 0 0 8297 9 10000 1 0 0 0 8297 10000 80 0 1000 2 50.169 17.067 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed967561224.log 5543785 q3-extractinstructions.txt 20150712_191147 0.5 559f0b9a7768393544b976a4
20150712_191011 50 1 1 3 100000 681028781 9079 10000 921 0 0 9079 9 10000 1 0 0 0 9079 10000 80 0 1000 13 54.842 18.908 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed681028781.log 6096897 q3-extractinstructions.txt 20150712_191149 0.5 559f0b9a7768393544b976a1
20150712_191015 50 1 1 3 100000 105731136 8759 10000 1241 0 0 8759 9 10000 1 0 0 0 8759 10000 80 0 1000 6 54.209 17.628 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed105731136.log 5861571 q3-extractinstructions.txt 20150712_191151 0.5 559f0b9a7768393544b976a3
20150712_191020 50 1 1 3 100000 420477893 8763 10000 1237 0 0 8763 9 10000 1 0 0 0 8763 10000 80 0 1000 7 58.468 17.02 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed420477893.log 5864451 q3-extractinstructions.txt 20150712_191157 0.5 559f0b9a7768393544b976a5
20150712_191102 50 1 1 3 100000 263688301 8885 10000 1115 0 0 8885 9 10000 1 0 0 0 8885 10000 80 0 1000 9 82.303 15.866 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed263688301.log 5958867 q3-extractinstructions.txt 20150712_191259 0.5 559f0b9a7768393544b976a6
20150712_191158 50 1 1 3 100000 533657980 8253 10000 1747 0 0 8253 9 10000 1 0 0 0 8253 10000 80 0 1000 1 53.168 17.347 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed533657980.log 5500018 q3-extractinstructions.txt 20150712_191328 0.5 559f0b9a7768393544b976a8
20150712_191201 50 1 1 3 100000 597296547 8496 10000 1504 0 0 8496 9 10000 1 0 0 0 8496 10000 80 0 1000 4 54.067 17.956 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed597296547.log 5667294 q3-extractinstructions.txt 20150712_191335 0.5 559f0b9a7768393544b976aa
20150712_191157 50 1 1 3 100000 50746969 8919 10000 1081 0 0 8919 9 10000 1 0 0 0 8919 10000 80 0 1000 8 57.696 18.283 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed50746969.log 5963166 q3-extractinstructions.txt 20150712_191336 0.5 559f0b9a7768393544b976a7
20150712_191159 50 1 1 3 100000 711283608 8802 10000 1198 0 0 8802 9 10000 1 0 0 0 8802 10000 80 0 1000 7 56.630 18.799 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed711283608.log 5897218 q3-extractinstructions.txt 20150712_191337 0.5 559f0b9a7768393544b976a9
20150712_191206 50 1 1 3 100000 258760793 8598 10000 1402 0 0 8598 9 10000 1 0 0 0 8598 10000 80 0 1000 4 54.809 17.971 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed258760793.log 5743872 q3-extractinstructions.txt 20150712_191342 0.5 559f0b9a7768393544b976ac
20150712_191204 50 1 1 3 100000 664375964 8948 10000 1052 0 0 8948 9 10000 1 0 0 0 8948 10000 80 0 1000 9 56.822 19.359 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed664375964.log 5996415 q3-extractinstructions.txt 20150712_191343 0.5 559f0b9a7768393544b976ab
20150712_191208 50 1 1 3 100000 666549275 8956 10000 1044 0 0 8956 9 10000 1 0 0 0 8956 10000 80 0 1000 10 63.536 18.439 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed666549275.log 5993273 q3-extractinstructions.txt 20150712_191351 0.5 559f0b9a7768393544b976ad
20150712_191231 50 1 1 3 100000 376517787 9002 10000 998 0 0 9002 9 10000 1 0 0 0 9002 10000 80 0 1000 11 80.172 19.064 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed376517787.log 6046928 q3-extractinstructions.txt 20150712_191427 0.5 559f0b9a7768393544b976ae
20150712_191304 50 1 1 3 100000 817713633 8886 10000 1114 0 0 8886 9 10000 1 0 0 0 8886 10000 80 0 1000 8 76.545 16.38 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed817713633.log 5957385 q3-extractinstructions.txt 20150712_191456 0.5 559f0b9a7768393544b976af
20150712_191345 50 1 1 3 100000 519606501 9001 10000 999 0 0 9001 9 10000 1 0 0 0 9001 10000 80 0 1000 10 53.107 19.422 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed519606501.log 6029235 q3-extractinstructions.txt 20150712_191514 0.5 559f0b9a7768393544b976b0
20150712_191347 50 1 1 3 100000 715258232 8808 10000 1192 0 0 8808 9 10000 1 0 0 0 8808 10000 80 0 1000 7 52.212 18.564 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed715258232.log 5884969 q3-extractinstructions.txt 20150712_191515 0.5 559f0b9a7768393544b976b1
20150712_191350 50 1 1 3 100000 792850679 8537 10000 1463 0 0 8537 9 10000 1 0 0 0 8537 10000 80 0 1000 4 51.085 17.691 ../q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i80d0m1000_seed792850679.log 5686180 q3-extractinstructions.txt 20150712_191515 0.5 559f0b9a7768393544b976b2
