timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150626_174023 50 1 1 3 100000 919028296 8135 10000 1865 0 0 8135 9 10000 1 0 0 0 8135 10000 33 0 1000 2 49.784 17.83 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed919028296.log 5420679 q3-extractinstructions.txt 20150626_174150 0.5 558dc6927768392ca8d480a2
20150626_174028 50 1 1 3 100000 103765041 8185 10000 1815 0 0 8185 9 10000 1 0 0 0 8185 10000 33 0 1000 10 52.224 18.331 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed103765041.log 5450194 q3-extractinstructions.txt 20150626_174158 0.5 558dc6927768392ca8d480a3
20150626_174034 50 1 1 3 100000 141246882 8079 10000 1921 0 0 8079 9 10000 1 0 0 0 8079 10000 33 0 1000 1 53.833 18.798 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed141246882.log 5384841 q3-extractinstructions.txt 20150626_174204 0.5 558dc6927768392ca8d480a4
20150626_174039 50 1 1 3 100000 681028781 8205 10000 1795 0 0 8205 9 10000 1 0 0 0 8205 10000 33 0 1000 7 56.183 19.344 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed681028781.log 5454918 q3-extractinstructions.txt 20150626_174210 0.5 558dc6927768392ca8d480a5
20150626_174044 50 1 1 3 100000 117661523 8183 10000 1817 0 0 8183 9 10000 1 0 0 0 8183 10000 33 0 1000 5 58.486 18.595 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed117661523.log 5452313 q3-extractinstructions.txt 20150626_174218 0.5 558dc6927768392ca8d480a6
20150626_174049 50 1 1 3 100000 105731136 8140 10000 1860 0 0 8140 9 10000 1 0 0 0 8140 10000 33 0 1000 3 65.363 18.892 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed105731136.log 5422452 q3-extractinstructions.txt 20150626_174227 0.5 558dc6927768392ca8d480a7
20150626_174054 50 1 1 3 100000 967561224 8138 10000 1862 0 0 8138 9 10000 1 0 0 0 8138 10000 33 0 1000 3 74.008 19.375 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed967561224.log 5424112 q3-extractinstructions.txt 20150626_174240 0.5 558dc6927768392ca8d480a8
20150626_174059 50 1 1 3 100000 420477893 8263 10000 1737 0 0 8263 9 10000 1 0 0 0 8263 10000 33 0 1000 5 77.203 19.751 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed420477893.log 5511275 q3-extractinstructions.txt 20150626_174249 0.5 558dc6927768392ca8d480a9
20150626_174157 50 1 1 3 100000 263688301 8122 10000 1878 0 0 8122 9 10000 1 0 0 0 8122 10000 33 0 1000 5 71.935 13.401 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed263688301.log 5420167 q3-extractinstructions.txt 20150626_174343 0.5 558dc6927768392ca8d480aa
20150626_174202 50 1 1 3 100000 50746969 8309 10000 1691 0 0 8309 9 10000 1 0 0 0 8309 10000 33 0 1000 13 69.899 13.759 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i33d0m1000_seed50746969.log 5532383 q3-extractinstructions.txt 20150626_174346 0.5 558dc6927768392ca8d480ab
