timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150626_111622 50 1 1 3 100000 919028296 8118 10000 1882 0 0 8118 9 10000 1 0 0 0 8118 10000 20 0 1000 2 41.751 14.164 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed919028296.log 5409425 q3-extractinstructions.txt 20150626_111736 0.5 558b31fc77683911c4069da2
20150626_111627 50 1 1 3 100000 103765041 8134 10000 1866 0 0 8134 9 10000 1 0 0 0 8134 10000 20 0 1000 8 42.880 14.617 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed103765041.log 5414886 q3-extractinstructions.txt 20150626_111743 0.5 558b31fc77683911c4069da3
20150626_111633 50 1 1 3 100000 141246882 8072 10000 1928 0 0 8072 9 10000 1 0 0 0 8072 10000 20 0 1000 1 47.031 15.522 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed141246882.log 5379790 q3-extractinstructions.txt 20150626_111752 0.5 558b31fc77683911c4069da4
20150626_111638 50 1 1 3 100000 681028781 8209 10000 1791 0 0 8209 9 10000 1 0 0 0 8209 10000 20 0 1000 11 52.372 16.037 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed681028781.log 5456189 q3-extractinstructions.txt 20150626_111803 0.5 558b31fc77683911c4069da5
20150626_111643 50 1 1 3 100000 117661523 8141 10000 1859 0 0 8141 9 10000 1 0 0 0 8141 10000 20 0 1000 5 54.506 15.99 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed117661523.log 5423907 q3-extractinstructions.txt 20150626_111810 0.5 558b31fc77683911c4069da6
20150626_111648 50 1 1 3 100000 105731136 8107 10000 1893 0 0 8107 9 10000 1 0 0 0 8107 10000 20 0 1000 3 56.192 16.443 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed105731136.log 5401320 q3-extractinstructions.txt 20150626_111817 0.5 558b31fc77683911c4069da7
20150626_111653 50 1 1 3 100000 967561224 8113 10000 1887 0 0 8113 9 10000 1 0 0 0 8113 10000 20 0 1000 4 62.154 16.473 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed967561224.log 5413469 q3-extractinstructions.txt 20150626_111827 0.5 558b31fc77683911c4069da8
20150626_111658 50 1 1 3 100000 420477893 8185 10000 1815 0 0 8185 9 10000 1 0 0 0 8185 10000 20 0 1000 8 67.824 16.255 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed420477893.log 5459022 q3-extractinstructions.txt 20150626_111837 0.5 558b31fc77683911c4069da9
20150626_111714 50 1 1 3 100000 263688301 8096 10000 1904 0 0 8096 9 10000 1 0 0 0 8096 10000 20 0 1000 4 75.564 14.399 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed263688301.log 5398041 q3-extractinstructions.txt 20150626_111900 0.5 558b31fc77683911c4069daa
20150626_111751 50 1 1 3 100000 50746969 8204 10000 1796 0 0 8204 9 10000 1 0 0 0 8204 10000 20 0 1000 8 73.867 11.981 ../Q3/./log/doc50cop1shlf1lif3_af10000s1tTOTAL_gf10000i20d0m1000_seed50746969.log 5458960 q3-extractinstructions.txt 20150626_111937 0.5 558b31fc77683911c4069dab
